"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Body_mass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Fos" "Ter" "Aqu" "Arb" "Aer" "Verticality" "EcoTer" "EcoFresh" "EcoMar" "MajorHabitat_1" "MajorHabitat_2" "MajorHabitat_3" "MajorHabitat_4" "MajorHabitat_5" "MajorHabitat_6" "MajorHabitat_7" "MajorHabitat_8" "MajorHabitat_9" "MajorHabitat_10" "MajorHabitat_12" "MajorHabitat_13" "MajorHabitat_14" "MajorHabitat_15" "MajorHabitat_16" "MajorHabitat_17" "MajorHabitatSum" "Habitat_breadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "RangeSize_km2" "Venomous" "Dorsal_colour" "Dorsal_pattern" "Foraging_mode" "Shape_pupil" "Fangs" "Sex_determinism" "Body_temp" "MISSING_ALL_TRAITS"
"Anatololacerta oertzeni" "EEA" "Reptiles" "Anatololacerta anatolica (Werner, 1900)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Anatololacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 23.56040588064 89.812 4.2474 "oviparous" NA 1.805 8.744 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 1 0 1 0 0.73 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 3.52 NA 0.00517345536 0.1433877764 0.059003163 0.0286797126828 13.5699184528 601.205016756 6371.5351016 24.6693595708 1092.2 NA 1024144 "No" "Black/Brown/Green" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 30.094 "YES"
"Anguis cephalonnica" "EEA" "Reptiles" "Anguis cephallonica Werner, 1894" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 75.8577575 286 10.5 "viviparous" NA 3 27.548 "Diurnal" "Carnivorous" 1 1 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 4 NA 0.001703837 0.082464778 0.135626377 0 15.5434837684 729.1188334 5714.63783668 21.232636 600 NA 96800 "No" "Gray" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 29 "NO"
"Anguis fragilis" "SPEED2ZERO" "Reptiles" "Anguis fragilis Linnaeus, 1758" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 79.43282347 291 9.48 "viviparous" 3.00861063013699 3.5 54 "Diurnal" "Carnivorous" 1 1 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 4 8.36 0.010182088 0.150893243 0.064806025 3.45384e-06 8.49 845.6258295 6158.1 16.241932 1370 5.27792 3932500 "No" "Black/Brown" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 24.25 "NO"
"Anguis veronensis" "SPEED2ZERO" "Reptiles" "Anguis veronensis Pollini, 1818" "SPECIES" "INN" NA "EN" NA "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 41.68693835 233 6.8322 "viviparous" 1.29301457534247 2.84333333333333 9 "Cathemeral" "Carnivorous" 1 1 1 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1.48 0.013781802 0.126426064 0.051568874 0 21.41 917.7066544 348.8061 19.777919 1000 1.84084 605000 "No" "Black/Brown" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 26.15 "NO"
"Archaeolacerta bedriagae" "EEA" "Reptiles" "Archaeolacerta bedriagae (Camerano, 1885)" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Archaeolacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 14.12537545 84 4.5 "oviparous" 1.45243802739726 1.54 9.06 "Diurnal" "Omnivorous" 1 0 0 1 0 0 1 0 1 0 0 0 0.5 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 4 4.32 0.00271889 0.050181255 0.040135536 0 13.71 723.4959235 5186.6 22.764316 1355 1.62348 84700 "No" "Gray" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.4 "NO"
"Blanus cinereus" "EEA" "Reptiles" "Blanus cinereus Vandelli, 1797" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Blanus" "Blanidae" "Amphisbaenia" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 16.59586907 254 2 "oviparous" 1.79639298630137 2.66433333333333 16 "Cathemeral" "Omnivorous" 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 4 6.8 0.007237356 0.222273227 0.058874947 0 13.96 610.125025 6133 28.844649 1000 2.28112 556600 "No" "Black/Brown/Green" "Banded/blotched/uniform" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 22.8 "NO"
"Blanus strauchi" "EEA" "Reptiles" "Blanus strauchi (Bedriaga, 1884)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Blanus" "Blanidae" "Amphisbaenia" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 9.77237221 212 1.5 "oviparous" 2.19943693150685 3 23 "Cathemeral" "Carnivorous" 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 4.08 0.006567033 0.200419892 0.072796645 0.008896434 14.2178216 639.2175797 5881.224 18.663327 675 2.9864 592900 "No" "Black/Brown/Green" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 24.204 "NO"
"Chalcides bedriagai" "EEA" "Reptiles" "Chalcides bedriagai (Bosca, 1880)" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 19.95262315 97.8 2.435 "viviparous" 1.21935550684931 1.55666666666667 6.83706666666667 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 4 6.44 0.006890748 0.214137868 0.059440032 0 13.86 633.6636252 5968.2 23.165025 950 1.47888 653400 "No" "Black/Brown/Green" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 28.5 "NO"
"Chalcides chalcides" "EEA" "Reptiles" "Chalcides chalcides (Linnaeus, 1758)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 33.88441561 210 7.4 "viviparous" 1.11753764383562 1.75 4 "Cathemeral" "Carnivorous" 1 0 0 0 0 0 0 1 1 0 0 0 0.25 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 5 8.08 0.010779858 0.180641922 0.043708354 0.000879458 14.56 685.53079 5991.7 21.74347 1150 1.3618 629200 "No" "Black/Brown/Green" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 24.298 "NO"
"Chalcides ocellatus" "EEA" "Reptiles" "Chalcides ocellatus (Forskal, 1775)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 97.7237221 159.8 6.5 "viviparous" 1.43972021917808 2.33333333333333 14 "Cathemeral" "Carnivorous" 1 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 7 9.44 0.002507618 0.055055128 0.008486082 0.171947207 21.32 188.3340248 5979.9 55.932611 1065 3.804 12838100 "No" "Gray" "Banded/blotched" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.25 "NO"
