"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "Migration_type" "Migration_dist" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Acipenser sturio" "InfoSpecies" "Fishes" "Acipenser sturio Linnaeus, 1758" "SPECIES" NA NA "RE" "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6000 8.307055489 0.343421838 0.311984323 0 0.196335259 0.433890215 0 0.103728298 3.30320441 6e+05 "fe3" 4 "ma5" 20 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lith" "rheo" "rheo" "fbm" -9.3 28.6 "dia" "long" 1417046.95898062 "NO"
"Alburnoides bipunctatus" "SPEED2ZERO" "Fishes" "Alburnoides bipunctatus (Bloch, 1782)" "SPECIES" "INN" NA "VU" NA "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 185 3.512796769 0.525739563 0.623262053 0.488984023 0.580383492 0.451359456 0.268386674 0.204675647 3.342143807 109314 "fe1" 2 "ma2" 12 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "rheo" "frb" -9.3 32 "pot" "short" 91.4245783457049 "NO"
"Alburnoides eichwaldii" "EEA" "Fishes" "Alburnoides eichwaldii (De Filippi, 1863)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 246 4.452691312 0.565760778 0.532463082 0.364875147 0.455035522 0.473520876 0.303461752 0.163529382 2.415496154 350 "fe2" 1.5 "ma3" 9 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "pelagic" "wc" "phylith" "eury" "eury" "frb" -9.3 32 "pot" "short" 102.220744208366 "YES"
"Alburnoides gmelini" "EEA" "Fishes" "Alburnoides gmelini Bogutskaya & Coad, 2009" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 300 2.959627476 0.54839657 0.536024918 0.431718935 0.27207058 0.460191558 0.324259677 0.192817962 3.67045826 350 "fe3" 3 "ma5" 12 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "limno" "frb" -7.4 28.6 "pot" "short" 22631.4264943026 "NO"
"Alburnoides kubanicus" "EEA" "Fishes" "Alburnoides kubanicus Bănărescu, 1964" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 160 4.479430556 0.415037996 0.478388135 0.243813835 0.315937941 0.471742936 0.121473881 0.107195697 2.415496154 6e+05 "fe3" 2 "ma3" 15 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "phylith" "rheo" "rheo" "fre" -7.4 28.6 "pot" "short" 37491.799521431 "NO"
"Alburnoides maculatus" "EEA" "Fishes" "Alburnoides maculatus (Kessler, 1859)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 3.844632171 0.558175358 0.532463082 0.40853014 0.359510662 0.544991593 0.288634702 0.140847119 2.15419385 6e+05 "fe1" 2 "ma1" 15 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "phylith" "eury" "limno" "fre" -7.4 32 "pot" "short" 22374.1468300049 "NO"
"Alburnoides ohridanus" "EEA" "Fishes" "Alburnoides ohridanus (Karaman, 1928)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 350 4.304443236 0.398785288 0.45175 0.119613511 0.236075317 0.432211728 0.215752497 0.172295685 3.168346735 20000 "fe3" 2 "ma5" 12 "ls2" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "ben" "lith" "rheo" "limno" "fre" -7.4 32 "pot" "short" 348.39331223541 "NO"
"Alburnoides prespensis" "EEA" "Fishes" "Alburnoides prespensis (Karaman, 1924)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 2.897989032 0.600261003 0.544408151 0.821319737 0.327754386 0.368595239 0.339661384 0.180643122 3.141682062 20000 "fe2" 2 "ma2" 8 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "phylith" "eury" "eury" "fre" -7.7 32 "nom" "short" 318.662821025835 "NO"
"Alburnoides rossicus" "EEA" "Fishes" "Alburnoides rossicus Berg, 1924" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400 3.572677392 0.510936185 0.483986111 0.523918796 0.259244415 0.46285427 0.088076693 0.157155275 2.789562503 350 "fe3" 2 "ma3" 8 "ls2" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "wc" "phy" "limno" "limno" "frb" -7.7 28.6 "pot" "short" 1712601.95453628 "NO"
"Alburnus albidus" "EEA" "Fishes" "Alburnus albidus (Costa, 1838)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 3.399537805 0.580208499 0.480494606 0.525608122 0.313874884 0.403177451 0.385706012 0.1680655 3.119769486 20000 "fe2" 2.5 "ma5" 6 "ls2" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "phylith" "eury" "limno" "frb" -7.4 32 "pot" "short" 50579.2558514203 "NO"
"Alburnus alborella" "InfoSpecies" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" NA NA NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270 2.822643439 0.411617785 0.472257622 0.425779382 0.378283554 0.361408363 0.245579208 0.182608066 3.07828125 20000 "fe2" 3 "ma3" 12 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "phylith" "eury" "eury" "frb" -9.3 28.6 "pot" "short" 144380.899480139 "NO"
"Alburnus alburnus" "SPEED2ZERO" "Fishes" "Alburnus alburnus (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 4.253526855 0.559971056 0.540985824 0.559971056 0.441100168 0.429576461 0.2766026 0.152191702 1.942321838 1362000 "fe2" 2 "ma2" 6 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "eury" "frb" -7.4 32 "pot" "short" 7213077.00336118 "NO"
"Alburnus arborella" "SPEED2ZERO" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" "INN" NA "CR" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 350 "fe1" 2 "ma2" 16 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "phy" "rheo" "limno" "fre" -7.7 32 "pot" "short" 129721.996692659 "NO"
"Alburnus belvica" "EEA" "Fishes" "Alburnus belvica Karaman, 1924" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 220 4.03104469 0.637553245 0.614438664 0.6943181 0.337188803 0.419771136 0.340625226 0.168893506 2.914296654 1362000 "fe1" 2.5 "ma2" 6 "ls2" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "pelagic" "ben" "phylith" "eury" "limno" "frb" -9.3 32 "nom" "short" 318.662821025835 "NO"
"Alburnus chalcoides" "EEA" "Fishes" "Alburnus chalcoides (Güldenstädt, 1772)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400 4.304443236 0.516448787 0.499901961 0.555920251 0.568627451 0.478271471 0.328975749 0.142962963 2.427996763 1362000 "fe1" 2 "ma1" 15 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -7.4 32 "pot" "medium" 627072.093379888 "NO"
"Alburnus hohenackeri" "EEA" "Fishes" "Alburnus hohenackeri Kessler, 1877" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 5.04464615 0.571576385 0.59387889 0.473185181 0.384692677 0.72844559 0.230678895 0.137147459 2.249765654 20000 "fe1" 2 "ma1" 20 "ls1" "Carnivorous" 1 1 1 0 0 0 0 1 0 0 1 0 0 "pelagic" "ben" "lith" "eury" "limno" "fre" -7.7 32 "pot" "short" 283365.560984887 "NO"
"Alburnus istanbulensis" "EEA" "Fishes" "Alburnus istanbulensis Battalgil, 1941" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 3.959408526 0.387630208 0.466809764 0.381927273 0.259244415 0.471742936 0.123375246 0.155576596 1.701465349 350 "fe3" 2.5 "ma3" 9 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "ben" "phylith" "rheo" "limno" "fre" -9.3 32 "pot" "short" 21055.0162189399 "NO"
"Alburnus leobergi" "EEA" "Fishes" "Alburnus leobergi Freyhof & Kottelat, 2007" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 300 4.54745098 0.415037996 0.363789187 0 0.313929513 0.515789975 0.189767495 0.14660815 2.507867821 6e+05 "fe3" 1 "ma3" 30 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "ben" "phylith" "eury" "limno" "fre" -7.4 32 "pot" "short" 169942.314930748 "NO"
"Alburnus macedonicus" "EEA" "Fishes" "Alburnus macedonicus Karaman, 1928" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 135 2.959627476 0.592000275 0.51422973 0.520692859 0.401783784 0.471328002 0.347990684 0.192817962 2.282849533 20000 "fe1" 1.5 "ma3" 9 "ls2" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "wc" "phylith" "eury" "limno" "fre" -7.4 32 "pot" "short" 42.0671580095062 "NO"
"Alburnus mandrensis" "EEA" "Fishes" "Alburnus mandrensis (Drensky, 1943)" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 3.714509819 0.326521896 0.59387889 0.333936059 0.383476612 0.48104781 0.184867136 0.172026374 2.584557508 20000 "fe1" 2.5 "ma2" 30 "ls2" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "lith" "eury" "limno" "fre" -9.3 32 "nom" "short" 4624.22609827591 "NO"
"Alburnus mento" "EEA" "Fishes" "Alburnus mento (Heckel, 1837)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 350 2.970238095 0.54839657 0.426666667 0.32270629 0.327754386 0.398473812 0.261319748 0.16686248 3.951881351 1362000 "fe3" 4 "ma5" 20 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lith" "eury" "limno" "fre" -7.4 32 "pot" "short" 2258.4775209668 "NO"
"Alburnus mentoides" "EEA" "Fishes" "Alburnus mentoides Kessler, 1859" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 190 3.204967111 0.519231851 0.603812088 0.56764812 0.380661991 0.438863261 0.34755846 0.164605075 2.281579999 350 "fe1" 2 "ma2" 8 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "lithpel" "eury" "eury" "fre" -7.4 28.6 "pot" "short" 14229.3561012509 "NO"
"Alburnus neretvae" "EEA" "Fishes" "Alburnus neretvae Buj, Sanda & Perea, 2010" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 3.82672 0.524307878 0.544408151 0.436473059 0.313874884 0.468380941 0.25498346 0.139725582 2.14656011 1362000 "fe1" 1 "ma2" 20 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "phylith" "eury" "eury" "fre" -7.7 32 "pot" "short" 11407.1219505593 "NO"
"Alburnus sarmaticus" "EEA" "Fishes" "Alburnus sarmaticus Freyhof & Kottelat, 2007" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 190 3.82149114 0.455360714 0.51422973 0.720516313 0.364373134 0.488019104 0.328975749 0.178596621 3.368282123 350 "fe1" 2 "ma2" 9 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "demersal" "wc" "lith" "rheo" "rheo" "fre" -9.3 32 "pot" "short" 184597.95798612 "NO"
"Alburnus schischkovi" "EEA" "Fishes" "Alburnus schischkovi (Drensky, 1943)" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400 4.253526855 0.516448787 0.469234191 0.504487171 0.259244415 0.398473812 0.2766026 0.1380103 2.382553032 20000 "fe3" 3 "ma4" 8 "ls2" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "ben" "phylith" "eury" "limno" "fre" -7.4 28.6 "nom" "short" 2693.03843230841 "NO"
"Alburnus scoranza" "EEA" "Fishes" "Alburnus scoranza Heckel & Kner, 1857" "SPECIES" NA "Yes" NA NA "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270 3.284140914 0.62623673 0.469234191 0.543404063 0.374926471 0.229648341 0.367903754 0.174302605 3.091423782 20000 "fe3" 3 "ma5" 8 "ls2" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "lithpel" "eury" "eury" "frb" -7.7 28.6 "pot" "short" 15147.8528337574 "NO"
