"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Riparian_sp" "Sex_dimporh" "Territoriality" "BodyLength_min" "BodyLength_mm" "BodyLength_max" "LARVA_BodyLength_min" "LARVA_BodyLength_mm" "LARVA_BodyLength_max" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Flight_mode_flier" "Flight_mode_percher" "Hindwing_length_mm" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Diet" "Ter" "Aqu" "Aer" "HAB_Ephemeral" "HAB_Lake" "HAB_Pond" "HAB_River" "HAB_Stream" "HAB_Wetland" "LARVA_Biotope_range" "LARVA_Stillwater" "LARVA_Watercourses" "LARVA_Moor" "EIV_Water_trophy" "EIV_Temp" "LARVA_EIV_Drought" "EGG_EIV_Drought" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Aeshna subarctica subsp. elisabethae" "SPEED2ZERO" "Insects" "Aeshna subarctica elisabethae Djakonov, 1922" "SUBSPECIES" "INN" NA "EN" NA "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "weak" "territorial" 70 73 76 38 40 42 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 50.5 "yes" "stripes" "symmetric" "strongly" 0.87 0 1 0 0 1 0 0 0 0 "Carnivorous" 1 1 1 0 0 0 0 0 0 "stenotop" 0 0 1 0.1 4.5 0 0 0 0 1 1 0 4080918.14690077 "NO"
"Aeshna viridis" "EEA" "Insects" "Aeshna viridis Eversmann, 1836" "SPECIES" NA "No" NA "LEAST_CONCERN" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "strong" "territorial" 65 70 76 38 43 47 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 43 "no" "dots" "hindwing" "strongly" 0.02 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 0 1 0 0 0 1 "stenotop" 1 0 1 0.1 10 0 0 0 1 1 1 0 1108155.12569868 "NO"
"Anax ephippiger" "SPEED2ZERO" "Insects" "Anax ephippiger (Burmeister, 1839)" "SPECIES" "INM" NA NA "LEAST_CONCERN" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "weak" "territorial" 61 65.5 70 42 43 44 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 44.5 "no" "dots" "hindwing" "weakly" 0.02 0 1 0 0 0 0 0 1 0 "Carnivorous" 1 1 1 0 0 1 0 0 1 "oligotop" 1 0 0 0.366666666666667 10 1 2 0 1 0 0 0 45416317.9594805 "NO"
"Anax immaculifrons" "EEA" "Insects" "Anax immaculifrons Rambur, 1842" "SPECIES" NA "No" NA "LEAST_CONCERN" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "weak" "territorial" 62 84 76 39 52.5 45 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 1 0 57 "no" "dots" "symmetric" "weakly" 0.87 0 1 0 0 1 0 0 0 0 "Carnivorous" 1 1 1 0 0 0 1 1 0 "stenotop" 1 0 0 0.366666666666667 11 0 0 0 1 1 0 0 4785680.49452169 "NO"
"Anax imperator" "SPEED2ZERO" "Insects" "Anax imperator Leach, 1815" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "strong" "territorial" 66 75 84 45 52.5 60 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 48.5 "no" "stripes" "hindwing" "weakly" 0.02 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 0 1 1 0 0 0 "eurytop" 1 0 1 0.366666666666667 11.5 0 0 0 1 1 0 0 46687702.4274556 "NO"
"Anax junius" "EEA" "Insects" "Anax junius (Drury, 1773)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "strong" "territorial" 67 74 76 41 52.5 60 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 50.5 "no" "stripes" "hindwing" "weakly" 0.02 0 1 0 0 0 0 0 0 1 "Carnivorous" 1 1 1 1 1 0 0 1 1 "eurytop" 1 0 1 0.333333333333333 9.5 0 0 1 1 1 0 0 29870939.3008082 "NO"
"Anax parthenope" "SPEED2ZERO" "Insects" "Anax parthenope (Selys, 1839)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "strong" "territorial" 62 68.5 75 48 52.5 57 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 48 "no" "dots" "symmetric" "weakly" 0.87 0 1 0 0 0 0 0 1 1 "Carnivorous" 1 1 1 0 1 1 1 0 0 "oligotop" 1 0 0 0.366666666666667 10.5 0 0 1 1 0 0 0 45416317.9594805 "NO"
"Boyeria cretensis" "EEA" "Insects" "Boyeria cretensis Peters, 1991" "SPECIES" NA "Yes" NA "ENDANGERED" "Boyeria" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "weak" "territorial" 65 70 76 37 43 57 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 45 "no" "stripes" "hindwing" "strongly" 0.31 0 1 0 0 0 0 0 0 0 "Carnivorous" 1 1 1 0 0 0 0 1 0 "stenotop" 1 1 1 0.1 10 0 0 1 1 1 1 0 8289.68124989559 "NO"
"Boyeria irene" "SPEED2ZERO" "Insects" "Boyeria irene (Fonscolombe, 1838)" "SPECIES" "INN" NA "VU" "LEAST_CONCERN" "Boyeria" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "weak" "territorial" 63 67 71 34 37.5 41 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 42 "no" "dots" "symmetric" "strongly" 0.02 0 1 0 0 0 0 0 1 1 "Carnivorous" 1 1 1 0 1 0 0 1 0 "stenotop" 1 1 0 0 10.5 0 0 0 1 1 0 0 29140890.7954741 "NO"
"Brachythemis leucosticta" "EEA" "Insects" "Brachythemis leucosticta (Burmeister, 1839)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Brachythemis" "Libellulidae" "Odonata" "Insecta" "Arthropoda" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "strong" "non-territorial" 30 27.5 39 19 20 24 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 24 "yes" "stripes" "symmetric" "weakly" 0.25 0 1 0 0 0 0 0 0 0 "Carnivorous" 1 1 1 1 0 1 0 0 0 "oligotop" 1 0 1 0.366666666666667 10 0 0 0 1 1 0 0 12874834.4548743 "NO"
