"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abortiporus biennis" "SPEED2ZERO" "Fungi" "Abortiporus biennis (Bull.) Singer" "SPECIES" "INN" NA "VU" NA "Abortiporus" "Podoscyphaceae" "Polyporales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascolocular" "fissitunicate" 44 4.36666666666667 0.41 13.31 275.89 19.81 3.9 39 7.5 12 197.425536333217 506 0 1 0 1 0 "wood" 587685.353599694 "NO"
"Abrothallus bertianus" "InfoSpecies" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44.2 3.3 0.65 25.23 264.016923076923 19.745 6.3 31.5891284 7 12.5 755.499102514459 5625 0 1 0 1 0 "mosses_lichens" 7162603.31686619 "NO"
"Abrothallus bryoriarum" "InfoSpecies" "Fungi" "Abrothallus bryoriarum Hafellner" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44.7 3.6 1.69 16.08 174.87 19.93 4 39 6.8 10.5 307.8760800518 5625 0 1 0 1 0 "mosses_lichens" 4870926.82205267 "NO"
"Abrothallus buellianus" "InfoSpecies" "Fungi" "Abrothallus buellianus De Not." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 4.4 0.705 12.81 137.502631578947 15.265 6.1 46.38060948 7.3 9.3 292.97707689215 11025 0 1 0 1 0 "mosses_lichens" 162608.367327407 "NO"
"Abrothallus caerulescens" "InfoSpecies" "Fungi" "Abrothallus caerulescens I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascolocular" "fissitunicate" 44 4.15 0.9 17.28 146.882 5.92 5.2 138.7747578 4.8 7.5 125.017061655728 2025 0 1 0 1 0 "mosses_lichens" 7496138.09911408 "NO"
"Abrothallus cetrariae" "InfoSpecies" "Fungi" "Abrothallus cetrariae I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.66666666666667 0.73 14.93 264.016923076923 19.81 3.6 31.5891284 7.5 10.3 278.002675508814 6400 0 1 0 1 0 "mosses_lichens" 587685.353599694 "NO"
"Abrothallus chrysanthus" "InfoSpecies" "Fungi" "Abrothallus chrysanthus Stein, 1879" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascolocular" "fissitunicate" 44 4.1 0.87 13.29 122.12 11.93 3.6 77.6 5.5 8 71.6581576320564 2500 0 1 0 1 0 "mosses_lichens" 4870926.82205267 "NO"
"Abrothallus cladoniae" "InfoSpecies" "Fungi" "Abrothallus cladoniae R.Sant. & D.Hawksw." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 4.8 1.4 16.56 76.7 5.82 4.2 56 4.3 7.8 606.131032601981 3025 0 1 0 1 0 "mosses_lichens" 1466621.36634165 "NO"
"Abrothallus microspermus" "InfoSpecies" "Fungi" "Abrothallus microspermus Tul." "SPECIES" NA NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 5.1 0.87 7.98 238.355 5.82 6 77.6 7.8 10.8 273.586643435418 10000 0 1 0 1 0 "mosses_lichens" 1435609.08546698 "NO"
"Abrothallus parmeliarum" "SPEED2ZERO" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascolocular" "fissitunicate" 44 3.7 0.87 15.31 104.38 12.5175 5.5 39 4.15 7.5 139.381994064267 3025 0 1 0 1 0 "mosses_lichens" 3375019.02866222 "NO"
"Abrothallus parmotrematis" "InfoSpecies" "Fungi" "Abrothallus parmotrematis Diederich" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 42.3 4.76 0.2 14.1 473.61 34.6666666666667 5.4 113.3880794 6.5 10.8 249.979145440018 8649 0 1 0 1 0 "mosses_lichens" 7162603.31686619 "NO"
"Abrothallus peyritschii" "InfoSpecies" "Fungi" "Abrothallus peyritschii (Stein) I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascolocular" "fissitunicate" 44 4.1 0.625 14.55 178.36 40.69 4.6 77.6 6.3 11 216.769893097696 10000 0 1 0 1 0 "mosses_lichens" 2138843.50086363 "NO"
"Abrothallus pezizicola" "InfoSpecies" "Fungi" "Abrothallus pezizicola Diederich & R.C.Harris" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 4.25 0.91 13.31 264.016923076923 26.28 4.6 39 5.8 8.6 177.02220104509 10000 0 1 0 1 0 "mosses_lichens" 1435609.08546698 "NO"
