"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abrothallus parmotrematis" "InfoSpecies" "Fungi" "Abrothallus parmotrematis Diederich" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.7033925925926 3.999 0.774766666666667 16.0673907692308 230.404461885483 19.1845904761905 5.256 65.4393603287333 6.056 9.032 209.142200382559 7224.88 0 1 0 1 0 "mosses_lichens" 5661573.9981494 "NO"
"Abrothallus peyritschii" "InfoSpecies" "Fungi" "Abrothallus peyritschii (Stein) I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.6632592592593 4.07002666666667 0.780099966329966 14.9854933333333 233.782394708995 21.1168 5.796 87.0035429798 5.76 8.39 3339.61802468033 7876.2 0 1 0 1 0 "mosses_lichens" 11164524.7667694 "NO"
"Abrothallus pezizicola" "InfoSpecies" "Fungi" "Abrothallus pezizicola Diederich & R.C.Harris" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.6933333333333 3.90246923076923 0.946774463937622 15.5427507692308 171.989448555149 15.9170380952381 5.448 73.3589926717333 5.718 8.43 181.179910426557 8237 0 1 0 1 0 "mosses_lichens" 9338363.56649313 "NO"
"Abrothallus prodiens" "InfoSpecies" "Fungi" "Abrothallus prodiens (Harm.) Diederich & Hafellner" "SPECIES" NA NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.9397142857143 3.86920666666667 0.796431871345029 16.1049533333333 221.919336190476 19.2888523809524 5.344 50.7371029184667 6.102 8.75 244.678357099567 9479 0 1 0 1 0 "mosses_lichens" 7786306.42887861 "NO"
"Abrothallus suecicus" "InfoSpecies" "Fungi" "Abrothallus suecicus (Kirschst.) Nordin" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.7166666666667 4.02430923076923 0.860688831908832 14.5675 217.465213227513 19.4638666666667 5.808 63.3039101084 6.124 9.014 185.897776250134 8014 0 1 0 1 0 "mosses_lichens" 7096478.22302979 "NO"
"Abrothallus usneae" "InfoSpecies" "Fungi" "Abrothallus usneae Rabenh." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.882 3.7755 0.81300701754386 16.3124 222.16198 20.7084 5.26 91.2185369964 8.86 8.29 248.367906343796 8105.32 0 1 0 1 0 "mosses_lichens" 9991968.06150244 "NO"
"Absidia coerulea" "InfoSpecies" "Fungi" "Absidia coerulea Bainier" "SPECIES" "INN" NA "NE" NA "Absidia" "Cunninghamellaceae" "Mucorales" "Mucoromycetes" "Mucoromycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.02 4.41972 0.502748888888889 16.06714 313.887457142857 26.5208523809524 5.064 49.9304812206 12.344 18.244 3525.52101597427 8253 0 1 0 0 0 "above_litter" 3025907.95215722 "YES"
"Absidia corymbifera" "InfoSpecies" "Fungi" "Lichtheimia corymbifera (Cohn) Vuill." "SPECIES" "INN" NA "NE" NA "Lichtheimia" "Lichtheimiaceae" "Mucorales" "Mucoromycetes" "Mucoromycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.0354533333333 5.058 0.650726666666667 13.9870133333333 264.541303809524 19.1901857142857 5.304 87.8666426663334 11.42 12.732 3446.87184079426 2932.48 0 1 0 0 0 "above_litter" 2243967.32683078 "YES"
"Absidia fusca" "InfoSpecies" "Fungi" "Absidia fusca Linnem., 1936" "SPECIES" "INN" NA "NE" NA "Absidia" "Cunninghamellaceae" "Mucorales" "Mucoromycetes" "Mucoromycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.0991 4.34433333333333 0.484552727272727 20.2644933333333 346.66484 24.6777 5.14 65.8263275029333 12 19.152 6627.20411218597 6123.12 0 1 0 0 0 "above_litter" 5527741.4912276 "YES"
"Acanthobasidium delicatum" "InfoSpecies" "Fungi" "Acanthobasidium delicatum (Wakef.) Oberw. ex Jülich" "SPECIES" NA NA "NE" NA "Acanthobasidium" "Stereaceae" "Russulales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.634 1.8938 0.386314285714286 38.1584974358974 442.513323809524 23.7236 2.792 116.5360996068 16.228 15.496 379.441518812673 6963.96 0 1 0 1 0 "wood" 7113847.89800802 "NO"
"Acanthohelicospora scopula" "InfoSpecies" "Fungi" "Acanthohelicospora scopula (Peck) Rossman & W.C.Allen" "SPECIES" NA NA "NE" NA "Acanthohelicospora" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.4886761904762 2.2202 0.447826060606061 32.6977 337.677246666667 20.1301666666667 2.804 102.670287921267 8.684 11.696 265.244898126047 6575.74 0 1 0 1 0 "wood" 6159496.56651457 "NO"
"Acanthonitschkea tristis" "InfoSpecies" "Fungi" "Acanthonitschkea tristis (J.Kickx f.) Nannf." "SPECIES" "INN" NA "NE" NA "Acanthonitschkea" "Nitschkiaceae" "Coronophorales" "Sordariomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 43.79832 5.09188 0.705611443994602 12.0195333333333 293.972062475634 24.5702523809524 5.42 89.9356314116 5.69 10.442 310.254768345392 4567.92 0 1 0 0 0 "above_litter" 4114238.852747 "NO"
"Acanthophiobolus helicosporus" "InfoSpecies" "Fungi" "Acanthophiobolus helicosporus (Berk. & Broome) J.Walker" "SPECIES" "INN" NA "NE" NA "Acanthophiobolus" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascolocular" "fissitunicate" 44.1057066666667 4.38820666666667 0.566834285714286 14.6097507692308 366.926869090909 20.7755523809524 5.216 87.2760996822667 9.312 13.72 3462.50726468783 6583.92 0 1 0 0 0 "above_litter" 4542964.33723574 "NO"
"Acanthophysellum minor" "InfoSpecies" "Fungi" "Acanthophysellum minor (Pilát) Sheng H.Wu, Boidin & C.Y.Chien" "SPECIES" NA NA "NE" NA "Acanthophysellum" "Stereaceae" "Russulales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.1607733333333 2.27936666666667 0.383628888888889 34.7376133333333 377.784657142857 25.4209666666667 2.92 110.435019172933 10.436 16.502 9742.21390726605 6269.24 0 1 0 1 0 "wood" 5996693.49159495 "NO"
"Acanthophysium minor" "InfoSpecies" "Fungi" "Acanthophysellum minor (Pilát) Sheng H.Wu, Boidin & C.Y.Chien" "SPECIES" "INN" NA "NE" NA "Acanthophysellum" "Stereaceae" "Russulales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascolocular" "fissitunicate" 44.5248 4.18166666666667 0.507720606060606 14.30274 391.229207142857 25.6127666666667 4.448 78.4015395158667 8.096 13.772 3597.56527534346 7510.14 0 1 0 0 0 "above_litter" 4281943.55340967 "YES"
"Acanthostigma revocatum" "InfoSpecies" "Fungi" "Acanthostigma revocatum Sacc." "SPECIES" NA NA "NE" NA "Acanthostigma" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.50056 2.11392 0.506560606060606 33.3520974358974 370.663842857143 18.2105666666667 2.736 124.4097459108 8.244 12.176 6625.05220499407 7032.92 0 1 0 1 0 "wood" 11720271.1469735 "NO"
"Achroomyces disciformis" "SPEED2ZERO" "Fungi" "Platygloea disciformis (Fr.) Neuhoff" "SPECIES" "INN" NA "NE" NA "Platygloea" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.3399657142857 2.7801358974359 0.430180952380952 25.4444307692308 393.213623809524 14.5789523809524 3.184 97.7105299717333 6.788 10.232 3461.16710314971 2505 0 1 0 1 0 "wood" 6589366.5951947 "NO"
"Achroomyces effusus" "InfoSpecies" "Fungi" "Colacogloea effusa (J.Schröt.) Malysheva, Schoutteten & Spirin" "SPECIES" "INN" NA "DD" NA "Colacogloea" "Colacogloeaceae" "Platygloeales" "Microbotryomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 43.9181333333333 5.21278 0.424115555555556 13.9311266666667 501.813602857143 24.1723666666667 5.384 66.3683473105334 12.632 25.276 3515.91566973975 5053.6 0 1 0 0 0 "fungi" 4650133.81473239 "NO"
"Achroomyces insignis" "InfoSpecies" "Fungi" "Achroomyces insignis Hauerslev" "SPECIES" NA NA "NE" NA "Achroomyces" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "parasite" "ostiolar" "ascohymenial" "fissitunicate" 44.1320592592593 4.65336923076923 0.539439393939394 14.0634 288.606758354978 23.8118857142857 5.06 56.3203515404667 10.004 13.208 3477.81293654452 6996 0 1 0 0 0 "fungi" 2291955.46953276 "NO"
"Achroomyces microsporus" "InfoSpecies" "Fungi" "Cystobasidium sebaceum G.W.Martin" "SPECIES" "INN" NA "NE" NA "Cystobasidium" "Cystobasidiaceae" "Cystobasidiales" "Cystobasidiomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.2915259259259 2.0805117948718 0.370193333333333 40.9703333333333 613.184186446886 18.6458 3.2 65.1524378458 12.572 23.788 618.270994845468 2802.76 0 1 0 1 0 "wood" 7047294.99789501 "NO"
"Achroomyces peniophorae" "InfoSpecies" "Fungi" "Colacogloea peniophorae (Bourdot & Galzin) Oberw., R.Bauer & Bandoni" "SPECIES" "INN" NA "DD" NA "Colacogloea" "Colacogloeaceae" "Platygloeales" "Microbotryomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44.1687028571429 4.5342 0.466898461538462 13.9518466666667 308.274246666667 22.1529190476191 5.36 47.8269739799333 14.456 21.988 466.471028531822 3991.56 0 1 0 0 0 "fungi" 6381943.82988211 "NO"
"Achroomyces robertsii" "InfoSpecies" "Fungi" "Achroomyces robertsii Trichies" "SPECIES" "INN" NA "NE" NA "Achroomyces" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "parasite" "ostiolar" "ascohymenial" "poricidal" 43.996068115942 4.63650666666667 0.520334285714286 13.6581466666667 309.58799 30.7309666666667 5.14 44.1456423112 12.632 17.492 463.251000781647 7130.56 0 1 0 0 0 "fungi" 2818226.21119903 "NO"
"Achroomyces sebaceus" "InfoSpecies" "Fungi" "Naohidea sebacea (Berk. & Broome) Oberw." "SPECIES" "INN" NA "DD" NA "Naohidea" "Naohideaceae" "Naohideales" "Cystobasidiomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 43.9846666666667 4.7294 0.659186080586081 12.5000533333333 243.950362406015 19.0773714285714 5.028 70.3221128558 8.38 11.312 325.099976966836 2194.88 0 1 0 0 0 "fungi" 3837233.71940519 "NO"
"Acremonium alternatum" "InfoSpecies" "Fungi" "Acremonium alternatum Link" "SPECIES" "INN" NA "NE" NA "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 43.9433866666667 4.02114 0.577472727272727 16.4315466666667 258.99999047619 23.7257857142857 5.396 63.2657601395333 12.744 26.944 3472.19925604774 9653 0 1 0 0 0 "above_litter" 3535269.22184622 "YES"
"Acremonium hypholomatis" "InfoSpecies" "Fungi" "Acremonium hypholomatis (Boedijn) D.Hawksw." "SPECIES" "INN" NA "NE" NA "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44.1077066666667 3.07404256410256 0.445652727272727 24.9091282051282 528.060566666667 29.3367666666667 4.764 62.6545469772667 15.032 23.244 550.974058966978 7227 0 1 0 1 0 "mosses_lichens" 7044323.74696765 "NO"
"Acremonium pertusariae" "InfoSpecies" "Fungi" "Acremonium pertusariae Brackel & Etayo" "SPECIES" "INN" NA "NE" NA "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 43.928088115942 3.1158358974359 0.374114285714286 18.9526307692308 408.887588611389 26.1590523809524 4.896 47.819801896 11.524 23.724 3496.75020573294 8339.24 0 1 0 1 0 "mosses_lichens" 5140948.67952291 "NO"
