"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abortiporus biennis" "SPEED2ZERO" "Fungi" "Abortiporus biennis (Bull.) Singer" "SPECIES" "INN" NA "VU" NA "Abortiporus" "Podoscyphaceae" "Polyporales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascohymenial" "poricidal" 44 2.64 0.41 29.3 275.89 6.98 2 64.48982208 7.5 12 125.017061655728 6400 0 1 0 1 0 "wood" 173809.239910094 "NO"
"Abrothallus bertianus" "InfoSpecies" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44.6271428571429 3.29 0.5825 15.51 293.64 15.265 5.4 104.320310143333 6.5 10 200.953021284422 4225 0 1 0 1 0 "mosses_lichens" 3462632.48555202 "NO"
"Abrothallus bryoriarum" "InfoSpecies" "Fungi" "Abrothallus bryoriarum Hafellner" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "poricidal" 44 3.53 0.498333333333333 18.8 218.59 26.28 4.6 77.6 8.3 11.3 895.942954895639 11025 0 1 0 1 0 "mosses_lichens" 4465618.11706757 "NO"
"Abrothallus buellianus" "InfoSpecies" "Fungi" "Abrothallus buellianus De Not." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "poricidal" 43.4408695652174 5 1.15333333333333 14.55 191.125 21.0975 6.5 16.972608785 5.8 8.5 151.705938445524 5625 0 1 0 1 0 "mosses_lichens" 64264.9535269113 "NO"
"Abrothallus caerulescens" "InfoSpecies" "Fungi" "Abrothallus caerulescens I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascolocular" "fissitunicate" 44 3.86 0.79 18.8 227.885 12.7 3.9 77.6 5.5 9 468.919355462569 8649 0 1 0 1 0 "mosses_lichens" 8655590.13811742 "NO"
"Abrothallus cetrariae" "InfoSpecies" "Fungi" "Abrothallus cetrariae I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.29 1.12 18.33 122.12 16.51 5.5 61.0790733166667 5.3 8 104.71975511966 8100 0 1 0 1 0 "mosses_lichens" 5878758.30143677 "NO"
"Abrothallus chrysanthus" "InfoSpecies" "Fungi" "Abrothallus chrysanthus Stein, 1879" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "poricidal" 44 4.3 1.69 8.95 178.358333333333 22.88 4.9 46.38060948 6.8 10.5 344.042094679925 19600 0 1 0 1 0 "mosses_lichens" 1994353.48624419 "NO"
"Abrothallus cladoniae" "InfoSpecies" "Fungi" "Abrothallus cladoniae R.Sant. & D.Hawksw." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.1 0.56 19.31 81.19 16.13 4.6 76.45701792 7.5 11.5 290.333426674154 12100 0 1 0 1 0 "mosses_lichens" 1994353.48624419 "NO"
"Abrothallus microspermus" "InfoSpecies" "Fungi" "Abrothallus microspermus Tul." "SPECIES" NA NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "poricidal" 44.6271428571429 3.856 1.69 16.965 186.985 12.7 4.9 77.6 6.5 9 200.953021284422 10000 0 1 0 1 0 "mosses_lichens" 62488.3984167476 "NO"
"Abrothallus parmeliarum" "SPEED2ZERO" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.76 0.06 16.75 233.685 20.8 6.2 16.972608785 6.5 10.3 279.798095710341 5625 0 1 0 1 0 "mosses_lichens" 2600987.081357 "NO"
