"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abortiporus biennis" "SPEED2ZERO" "Fungi" "Abortiporus biennis (Bull.) Singer" "SPECIES" "INN" NA "VU" NA "Abortiporus" "Podoscyphaceae" "Polyporales" "Agaricomycetes" "Basidiomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "saprobe" "ostiolar" "ascolocular" "fissitunicate" 44 2.7 0.41 22.17 275.89 18.915 1 70 8.5 13 508.938009881547 4900 0 1 0 1 0 "wood" 2811075.42981962 "NO"
"Abrothallus bertianus" "InfoSpecies" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascolocular" "fissitunicate" 44 3.6 0.77 15.89 152.23 14.44 7.8 77.6 6.3 9.5 194.150425991849 15625 0 1 0 1 0 "mosses_lichens" 3375019.02866222 "NO"
"Abrothallus bryoriarum" "InfoSpecies" "Fungi" "Abrothallus bryoriarum Hafellner" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.61 0.73 20.8 191.125 12.5175 4.6 87.0577097566667 6.15 9 187.034718631468 4900 0 1 0 1 0 "mosses_lichens" 4465618.11706757 "NO"
"Abrothallus buellianus" "InfoSpecies" "Fungi" "Abrothallus buellianus De Not." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 4.4 0.705 16.05 186.396666666667 12.2 5.8 87.0577097566667 8.5 9 231.591403638557 5625 0 1 0 1 0 "mosses_lichens" 170.255020753041 "NO"
"Abrothallus caerulescens" "InfoSpecies" "Fungi" "Abrothallus caerulescens I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 4.4 1.13 13.31 107.9 12.5175 5 56.007829265 6 8.3 174.227492580334 11025 0 1 0 1 0 "mosses_lichens" 13383759.2091955 "NO"
"Abrothallus cetrariae" "InfoSpecies" "Fungi" "Abrothallus cetrariae I.Kotte" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "fissitunicate" 43.9 4.776 0.66 15.89 264.563333333333 30.47 6.3 46.38060948 5 8.3 106.028752058656 7225 0 1 0 1 0 "mosses_lichens" 2811075.42981962 "NO"
"Abrothallus chrysanthus" "InfoSpecies" "Fungi" "Abrothallus chrysanthus Stein, 1879" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44 3.6 0.87 17.17 141.15 13.0866666666667 5.2 77.6 7 9 220.893233455532 10000 0 1 0 1 0 "mosses_lichens" 170.255020753041 "NO"
"Abrothallus cladoniae" "InfoSpecies" "Fungi" "Abrothallus cladoniae R.Sant. & D.Hawksw." "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "ostiolar" "ascohymenial" "poricidal" 44.1 3.9 0.625 15.51 196.8275 16.51 4.9 87.0577097566667 6.3 9.8 796.328287838063 8100 0 1 0 1 0 "mosses_lichens" 162608.367327407 "NO"
"Abrothallus microspermus" "InfoSpecies" "Fungi" "Abrothallus microspermus Tul." "SPECIES" NA NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "fissitunicate" 44 4 0.62 16.6625 233.685 16.13 4.8 40.695211225 6.3 8.5 165.876092109541 10000 0 1 0 1 0 "mosses_lichens" 25618115.6862878 "NO"
"Abrothallus parmeliarum" "SPEED2ZERO" "Fungi" "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "poricidal" 44 5.3 0.64 13.7 293.64 19.47 6.3 39 5.3 8 126.487850616383 9025 0 1 0 1 0 "mosses_lichens" 3375019.02866222 "NO"
"Abrothallus parmotrematis" "InfoSpecies" "Fungi" "Abrothallus parmotrematis Diederich" "SPECIES" "INN" NA "NE" NA "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "lichenicolous_fungus" "exposed_hymenium" "ascohymenial" "poricidal" 44 3.34 0.65 19.87 233.685 12.5175 3.8 31.5891284 6.3 9 187.034718631468 7225 0 1 0 1 0 "mosses_lichens" 7162603.31686619 "NO"
