"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_mm" "Litter_size" "Sexes" "Reprod_cross" "Reprod_self" "Reprod_parthenog" "Longevity_max_y" "Whorls" "Shape_oblong" "Shape_globose_conical" "Shape_depressed" "Shell_calcified_minus" "Shell_calcified_plus" "Shell_rudimentary" "Shell_close_operculum" "Shell_close_epiphrag" "Shell_close_calc" "Shell_close_nocalc" "Shell_close_noepiphrag" "Shell_close_cap" "Peri_structr_hairs" "Peri_structr_scales" "Peri_structr_ribs" "Peri_structr_none" "Aperture_peristome" "Aperture_rib" "Aperture_armature" "Aperture_simple" "Transport_sws" "Transport_swd" "Transport_bub" "Transport_spw" "Transport_ses" "Transport_oth" "Stream_pref_euc" "Stream_pref_hyc" "Stream_pref_erh" "Stream_pref_mrh" "Stream_pref_hrh" "Stream_pref_epo" "Stream_pref_mpo" "Stream_pref_hpo" "Stream_pref_lit" "Stream_pref_pro" "Diet_detritus" "Diet_litter" "Diet_pleuston" "Diet_fungi" "Diet_lichen" "Diet_epiphyte" "Diet_endolithic" "Diet_moss" "Diet_algae" "Diet_plant" "Diet_alive" "Diet_scav" "Diet_carniv" "Diet_gra" "Diet_min" "Diet_xyl" "Diet_shr" "Diet_gat" "Diet_aff" "Diet_pff" "Diet_pre" "Diet_par" "Diet_oth" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate_arg" "Substrate_pel" "Substrate_psa" "Substrate_aka" "Substrate_lit" "Substrate_phy" "Substrate_pom" "Substrate_oth" "Flow_habitat" "Salt_pref_salfr" "Salt_pref_salol" "Salt_pref_salme" "Salt_pref_salpo" "Salt_pref_saleu" "EIV_Moisture" "EIV_Drought" "EIV_Light" "EIV_Temp" "EIV_T_range" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Geo_range" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Abida vasconica" "EEA" "Molluscs" "Abida vasconica (Kobelt, 1882)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.875 "1-10" "Hermaphordite" 1 1 0 "1-2y" "3-5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 9 0 0 0 0 0 2 3 2 1 4 10 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 1 0 0 5 2 0 0 1 5 1 "limnophil" 6 3 0 0 0 0.133333333333333 0.923076923076923 0.25 18.88 1.722 1 1 1 0 0 "wide" 16456.3540371668 "NO"
"Abida vergniesiana" "EEA" "Molluscs" "Abida vergniesiana (Küster, 1847)" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Abida" "Chondrinidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.5 "1-10" "Hermaphordite" 1 1 0 "2-5+y" "5+w" 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 8 0 0 0 0 1 0 1 2 2 0 4 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 4 0 0 0 3 2 3 "limnophil" 10 0 0 0 0 0.2 0.923076923076923 0.375 18.11 3.971 1 0 0 0 0 "very_wide" 1202.96931284597 "NO"
"Acanthinula aculeata" "SPEED2ZERO" "Molluscs" "Acanthinula aculeata (O.F.Müller, 1774)" "SPECIES" "INN" NA "LC" NA "Acanthinula" "Valloniidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5 "1-10" "Hermaphordite" 1 1 0 "1-2y" "3-5w" 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 2 3 5 0 0 1 1 1 0 1 2 1 4 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 0 0 0 5 0 0 0 3 2 7 "limnophil" 7 3 0 0 0 0.2 0.846153846153846 0.25 17.59 2.243 0 1 1 1 0 "wide" 3286352.41852664 "NO"
"Acanthinula azorica" "EEA" "Molluscs" "Acanthinula azorica Pilsbry, 1926" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Acanthinula" "Valloniidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 "1-10" "Hermaphordite" 1 1 0 "1-2y" "5+w" 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 2 4 5 0 1 0 0 0 1 2 0 2 2 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 2 7 "rheobiont" 7 3 0 0 0 0.133333333333333 0.846153846153846 0.25 18.45 2.417 0 1 1 0 0 "wide" 112.505678357626 "NO"
"Acanthinula spinifera" "EEA" "Molluscs" "Acanthinula spinifera (Mousson, 1872)" "SPECIES" NA "Yes" NA "DATA_DEFICIENT" "Acanthinula" "Valloniidae" "Stylommatophora" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.125 "1-10" "Hermaphordite" 1 1 0 "1-2y" "5+w" 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 2 4 5 0 0 0 0 2 2 2 2 0 7 10 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 10 0 0 0 0 0 1 0 0 0 0 4 6 0 0 0 0 3 "rheophil" 7 3 0 0 0 0.2 0.923076923076923 0.25 16.25 0.428 0 0 0 1 0 "very_wide" 2744.68571646126 "NO"
"Acicula beneckei" "EEA" "Molluscs" "Acicula beneckei (Andreae, 1883)" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Acicula" "Aciculidae" "Architaenioglossa" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.75 "1-10" "nHermaphordite" 1 0 0 "1-2y" "3-5+w" 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 10 0 0 8 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 10 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 4 4 2 7 "rheophil" 10 0 2 0 0 0.466666666666667 0 0.25 17.8 2.423 1 0 0 0 0 "small" 373.529104229237 "NO"
"Acicula benoiti" "EEA" "Molluscs" "Acicula benoiti (Bourguignat, 1864)" "SPECIES" NA "Yes" NA "VULNERABLE" "Acicula" "Aciculidae" "Architaenioglossa" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 "1-10" "nHermaphordite" 1 0 0 "1-2y" "3-5+w" 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 7 0 0 0 0 0 0 1 0 0 3 3 0 0 0 0 0 0 0 0 0 0 1 0 1 0 6 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 4 0 1 "limnobiont" 7 2 0 0 0 0.533333333333333 0.0769230769230769 0.25 18.11 2.228 0 1 0 0 0 "very_wide" 7240.95713273548 "NO"
"Acicula corcyrensis" "EEA" "Molluscs" "Acicula corcyrensis (O.Boettger, 1883)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Acicula" "Aciculidae" "Architaenioglossa" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.75 "1-10" "nHermaphordite" 1 0 0 "1-2y" "3-5+w" 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 3 8 0 0 8 1 1 0 0 0 2 10 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 4 3 0 1 "rheophil" 7 2 2 0 0 0.466666666666667 0.307692307692308 0.25 18.11 2.417 0 1 0 1 0 "small" 16528.8428746881 "NO"
"Acicula disjuncta" "EEA" "Molluscs" "Acicula disjuncta Boeters, E.Gittenberger & Subai, 1989" "SPECIES" NA "Yes" NA "NEAR_THREATENED" "Acicula" "Aciculidae" "Architaenioglossa" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.75 "1-10" "nHermaphordite" 1 0 0 "1-2y" "5+w" 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 10 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 4 0 2 1 "limnobiont" 6 2 2 0 0 0.466666666666667 0 0 18.53 2.228 1 1 1 1 0 "very_wide" 1128.43846212711 "NO"
"Acicula douctouyrensis" "EEA" "Molluscs" "Acicula douctouyrensis (Bertrand, 2004)" "SPECIES" NA "Yes" NA "DATA_DEFICIENT" "Acicula" "Aciculidae" "Architaenioglossa" "Gastropoda" "Mollusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.75 "1-10" "nHermaphordite" 1 0 0 "1-2y" "5+w" 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 10 0 0 10 1 0 0 3 1 1 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 0 0 4 3 0 0 0 0 0 1 0 0 0 0 0 0 0 6 3 0 7 "rheophil" 7 3 2 0 0 0.533333333333333 0 0.25 18.45 3.065 1 1 0 0 0 "very_small" 50.7142461735667 "NO"
