"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "Migration_type" "Migration_dist" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Acipenser stellatus" "EEA" "Fishes" "Acipenser stellatus Pallas, 1771" "SPECIES" NA "No" NA "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2500 8.674477993 0.280231335 0.280278547 0 0.278200985 0.325371789 0 0.098354576 4.437812167 6e+05 "fe3" 4 "ma5" 20 "ls3" "Omnivorous" 1 1 1 0 0 0 0 1 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -9.3 32 "dia" "long" 2209946.33100385 "NO"
"Acipenser sturio" "InfoSpecies" "Fishes" "Acipenser sturio Linnaeus, 1758" "SPECIES" NA NA "RE" "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6000 8.307055489 0.343421838 0.311984323 0 0.196335259 0.433890215 0 0.111901772 3.30320441 6811 "fe3" 5 "ma5" 30 "ls3" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "demersal" "ben" "lith" "rheo" "rheo" "fbm" -7.7 28.6 "dia" "long" 1417046.95898062 "NO"
"Alburnoides bipunctatus" "SPEED2ZERO" "Fishes" "Alburnoides bipunctatus (Bloch, 1782)" "SPECIES" "INN" NA "VU" NA "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 185 3.512796769 0.525739563 0.623262053 0.488984023 0.580383492 0.451359456 0.268386674 0.204675647 3.342143807 6000 "fe1" 1.5 "ma2" 15 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "rheo" "frb" -7.4 28.6 "pot" "short" 9394.26841443942 "NO"
"Alburnoides eichwaldii" "EEA" "Fishes" "Alburnoides eichwaldii (De Filippi, 1863)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 5.249325708 0.4836218 0.352841551 0.264582499 0.296246922 0.620781433 0.226864539 0.123447989 1.606621667 6811 "fe2" 4 "ma5" 20 "ls2" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -9.3 32 "pot" "short" 11998.3582233617 "YES"
"Alburnoides gmelini" "EEA" "Fishes" "Alburnoides gmelini Bogutskaya & Coad, 2009" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 3.896519012 0.523341201 0.468560948 0.51987354 0.26297763 0.385198754 0.329065301 0.128637131 1.975609756 1362000 "fe1" 3 "ma1" 5.5 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "phylith" "eury" "eury" "fre" -7.4 32 "pot" "short" 22631.4264943026 "NO"
"Alburnoides kubanicus" "EEA" "Fishes" "Alburnoides kubanicus Bănărescu, 1964" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400 4.045420061 0.564551262 0.503950374 0.54224371 0.383476612 0.417943132 0.303137527 0.140847119 2.132438657 6000 "fe2" 2 "ma2" 5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "fre" -9.3 32 "pot" "short" 37491.799521431 "NO"
"Alburnoides maculatus" "EEA" "Fishes" "Alburnoides maculatus (Kessler, 1859)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 300 4.215011163 0.519076769 0.568784464 0.495626438 0.425382438 0.451359456 0.474768323 0.187791923 3.656679023 1362000 "fe2" 3 "ma2" 15 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "spel" "eury" "limno" "frb" -7.7 32 "pot" "short" 22374.1468300049 "NO"
"Alburnoides ohridanus" "EEA" "Fishes" "Alburnoides ohridanus (Karaman, 1928)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 600 2.897989032 0.440706956 0.400798273 0.449441863 0.5407018 0.354197254 0.215752497 0.158644254 1.976688823 250 "fe1" 2.5 "ma2" 8 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "rheo" "limno" "fre" -7.7 32 "pot" "short" 348.39331223541 "NO"
"Alburnoides prespensis" "EEA" "Fishes" "Alburnoides prespensis (Karaman, 1924)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 3.795173646 0.6354576 0.59387889 0.51860754 0.458499322 0.381770851 0.275839692 0.180322861 2.694710623 1362000 "fe2" 2.5 "ma1" 5.5 "ls2" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "pelagic" "wc" "phylith" "eury" "eury" "frb" -7.7 32 "pot" "short" 318.662821025835 "NO"
"Alburnoides rossicus" "EEA" "Fishes" "Alburnoides rossicus Berg, 1924" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1200 4.227398288 0.317674074 0.268304193 0.103085775 0.295381187 0.421766852 0.2903351 0.123957226 1.9698261 6811 "fe3" 4 "ma5" 30 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -7.4 32 "pot" "short" 1712601.95453628 "NO"
