"AMPHIBIANS","BIRDS","BEES","BRYOPHYTES","BEETLES","MAY-STONE-CADDISFLIES","FISHES","FUNGI","BUTTERFLIES","LICHENS","MAMMALS","MOLLUSCS","DRAGONFLIES","GRASSHOPPERS","VASCULAR_PLANTS","REPTILES","SPIDERS"
"MajorHabitat_12","MajorHabitat_3","_","HABsb_1.2.1","_","Rhithral_pref","_","_","_","ASCP_PigmentCol1","MajorHabitat_2","Aperture_rib","BodyPatterns_spotted","Arb","HABfi_2.6","MajorHabitat_4","_"
"MajorHabitat_13","MajorHabitat_4","_","HABsb_1.2.1.1","_","Potamal_pref","_","_","_","ASCP_PigmentCol2","MajorHabitat_3","Aperture_armature","BodyPatterns_striped","HAB_MesoGrass","HABfi_2.7","MajorHabitat_5","_"
"MajorHabitat_14","MajorHabitat_5","_","HABsb_1.2.2","_","Temp_pref","_","_","_","ASCP_PigmentCol3","MajorHabitat_4","Aperture_simple","Flight_mode_flier","HAB_DryGrass","HABfi_2.8","MajorHabitat_6","_"
"MajorHabitat_15","MajorHabitat_6","_","HABsb_1.2.3","_","pH_pref","_","_","_","ASCP_PigmentCol4","MajorHabitat_5","Diet_detritus","Flight_mode_percher","HAB_Shrubs","HABfi_2.9","MajorHabitat_7","_"
"MajorHabitat_16","MajorHabitat_7","_","HABsb_1.2.4","_","Elev_Planar","_","_","_","ASCP_PigmentCol5","MajorHabitat_6","Diet_litter","Hindwing_length_mm","HAB_Forests","HABfi_3.1","MajorHabitat_8","_"
"MajorHabitat_17","MajorHabitat_8","_","HABsb_1.3","_","Elev_Colline","_","_","_","ASCP_PigmentCol6","MajorHabitat_7","Diet_pleuston","Wing_Pigment","HAB_TallGrass","HABfi_3.2","MajorHabitat_9","_"
"_","MajorHabitat_9","_","HABsb_1.3.2","_","Elev_Montane","_","_","_","ASCP_PigmentCol7","MajorHabitat_8","Diet_fungi","WP_symmetry","HAB_Wetlands","HABfi_3.3","MajorHabitat_10","_"
"_","MajorHabitat_10","_","HABsb_1.3.3","_","Elev_Subalpine","_","_","_","ASCP_PigmentCol8","MajorHabitat_9","Diet_lichen","WPCol_amber","HAB_Water","HABfi_3.4","MajorHabitat_12","_"
"_","MajorHabitat_12","_","HABsb_2","_","Elev_Alpine","_","_","_","ASCP_PigmentCol9","MajorHabitat_10","Diet_epiphyte","WPCol_black","HAB_Rocks","HABfi_3.5","MajorHabitat_13","_"
"_","MajorHabitat_13","_","HABsb_2.0","_","Elev_Nival","_","_","_","ASCP_PigmentCol10","MajorHabitat_12","Diet_endolithic","WPCol_blue","HAB_Human","HABfi_4.1","MajorHabitat_14","_"
