"","species","genus","family","order","class","phylum","NSDM.group","CH3Div.group","NSDM.scheme","CH3Div.scheme","Dispersal_km"
"169","Agriotes obscurus","Agriotes","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.7465
"170","Agriotes pilosellus","Agriotes","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.1189
"171","Agriotes sputator","Agriotes","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.4374
"172","Agriotes ustulatus","Agriotes","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"206","Agrypnus murinus","Agrypnus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.9287
"274","Alosterna tabacicolor","Alosterna","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.9183
"275","Alphitobius diaperinus","Alphitobius","Tenebrionidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"305","Amara aenea","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2331
"306","Amara aulica","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.80755
"307","Amara bifrons","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2336
"308","Amara communis","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2546
"309","Amara convexior","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.3057
"310","Amara curta","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.9428
"311","Amara erratica","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.1509
"312","Amara familiaris","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2284
"313","Amara fulvipes","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.6977
"314","Amara kulti","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0528
"315","Amara lunicollis","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.1271
"316","Amara montivaga","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.9363
"317","Amara nitida","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.1659
"318","Amara ovata","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.1111
"319","Amara plebeja","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0432
"320","Amara praetermissa","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.0794
"321","Amara quenseli subsp. quenseli","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.1912
"322","Amara similata","Amara","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.6411
"340","Amidorus obscurus subsp. obscurus","Amidorus","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"344","Ampedus aethiops","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.0246
"345","Ampedus balteatus","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.6551
"346","Ampedus elongatulus","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.3466
"347","Ampedus erythrogonus","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.112
"348","Ampedus pomorum","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.3826
"349","Ampedus praeustus","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.8121
"350","Ampedus quercicola","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.36075
"351","Ampedus sanguineus","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.5233
"352","Ampedus sanguinolentus","Ampedus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.5978
"355","Amphimallon atrum subsp. atrum","Amphimallon","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"356","Amphimallon majale subsp. majale","Amphimallon","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"357","Amphimallon solstitiale subsp. solstitiale","Amphimallon","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"376","Anaesthetis testacea","Anaesthetis","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0899
"380","Anaglyptus mysticus","Anaglyptus","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.6708
"384","Anastrangalia dubia","Anastrangalia","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.5403
"385","Anastrangalia reyi","Anastrangalia","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.202
"386","Anastrangalia sanguinolenta","Anastrangalia","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.421
"392","Anchomenus dorsalis subsp. dorsalis","Anchomenus","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"400","Ancistronycha abdominalis","Ancistronycha","Cantharidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"401","Ancistronycha tigurina","Ancistronycha","Cantharidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"480","Anisandrus dispar","Anisandrus","Curculionidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.6589
"481","Anisodactylus binotatus","Anisodactylus","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2084
"482","Anisodactylus signatus","Anisodactylus","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2758
"484","Anisoplia villosa","Anisoplia","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"489","Anogcodes rufiventris","Anogcodes","Oedemeridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0125
"491","Anomala dubia subsp. dubia","Anomala","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"496","Anoplodera sexguttata","Anoplodera","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.1756
"497","Anoplotrupes stercorosus","Anoplotrupes","Geotrupidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"498","Anostirus purpureus","Anostirus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.7232
"503","Anthaxia candens","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2857
"504","Anthaxia godeti","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.4537
"505","Anthaxia helvetica","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.1209
"506","Anthaxia hungarica","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"507","Anthaxia morio","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.905
"508","Anthaxia nitidula","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.6525
"509","Anthaxia quadripunctata","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.553
"510","Anthaxia salicis","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.9056
"511","Anthaxia sepulchralis","Anthaxia","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.8463
"517","Anthicus antherinus","Anthicus","Anthicidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.628
"534","Anthrenus fuscus","Anthrenus","Dermestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.9178
"535","Anthrenus verbasci","Anthrenus","Dermestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"578","Aplocnemus impressus","Aplocnemus","Dasytidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"579","Aplotarsus incanus","Aplotarsus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"636","Arhopalus rusticus","Arhopalus","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0292
"654","Aromia moschata","Aromia","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.8302
"682","Asaphidion austriacum","Asaphidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.851
"683","Asaphidion caraboides subsp. caraboides","Asaphidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2401
"684","Asaphidion flavipes","Asaphidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.474
"685","Asaphidion pallipes","Asaphidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0839
"694","Asemum striatum","Asemum","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.3333
"749","Athous bicolor","Athous","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.0648
"750","Athous emaciatus","Athous","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"751","Athous haemorrhoidalis","Athous","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.4425
"752","Athous subfuscus","Athous","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.9435
"753","Athous vittatus","Athous","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.6545
"764","Attagenus pellio","Attagenus","Dermestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"772","Aulonothroscus brevicollis","Aulonothroscus","Throscidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"797","Badister bullatus","Badister","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0779
"798","Badister collaris","Badister","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.5754
"799","Badister dilatatus","Badister","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.814
"800","Badister lacertosus subsp. lacertosus","Badister","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"801","Badister sodalis","Badister","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.4034
"848","Bembidion articulatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.3134
"849","Bembidion ascendens","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.4718
"850","Bembidion assimile","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2819
"851","Bembidion azurescens subsp. azurescens","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"852","Bembidion biguttatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.8558
"853","Bembidion bipunctatum subsp. bipunctatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"854","Bembidion bualei subsp. bualei","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.4172
"855","Bembidion complanatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.1872
"856","Bembidion conforme","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0249
"857","Bembidion decorum subsp. decorum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.8541
"858","Bembidion dentellum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.3837
"859","Bembidion fasciolatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.0011
"860","Bembidion femoratum subsp. femoratum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"861","Bembidion genei subsp. illigeri","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"862","Bembidion geniculatum subsp. geniculatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.441
"863","Bembidion lampros","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.8625
