"","species","genus","family","order","class","phylum","NSDM.group","CH3Div.group","NSDM.scheme","CH3Div.scheme","Dispersal_km"
"281","Alytes obstetricans","Alytes","Alytidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.9508
"947","Bombina variegata","Bombina","Bombinatoridae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.5616
"1077","Bufo bufo","Bufo","Bufonidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.7328
"2466","Epidalea calamita","Epidalea","Bufonidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.3459
"3363","Hyla arborea","Hyla","Hylidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.3525
"3364","Hyla intermedia","Hyla","Hylidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.589
"3505","Ichthyosaura alpestris","Ichthyosaura","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.5927
"4057","Lissotriton helveticus","Lissotriton","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.4061
"4058","Lissotriton vulgaris","Lissotriton","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.987
"5131","Pelophylax esculentus","Pelophylax","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",2.1511
"5132","Pelophylax ridibundus","Pelophylax","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.7176
"5916","Rana dalmatina","Rana","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.671055
"5917","Rana latastei","Rana","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.0232
"5918","Rana temporaria","Rana","Ranidae","Anura","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.8639
"6245","Salamandra atra","Salamandra","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","terrestrial",1.2388
"6246","Salamandra salamandra","Salamandra","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.715
"7156","Triturus carnifex","Triturus","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.3896
"7157","Triturus cristatus","Triturus","Salamandridae","Caudata","Amphibia","Chordata","Amphibians","amphibians","terrestrial","aquatic",1.8444
"16","Acanthis flammea","Acanthis","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.8789
"19","Accipiter gentilis","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",4.6192
"20","Accipiter nisus","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",4.2108
"51","Acrocephalus palustris","Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1465
"52","Acrocephalus scirpaceus","Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1917
"71","Actitis hypoleucos","Actitis","Scolopacidae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.2682
"91","Aegithalos caudatus","Aegithalos","Aegithalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6849
"92","Aegolius funereus","Aegolius","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.9451
"216","Aix galericulata","Aix","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.1981
"222","Alauda arvensis","Alauda","Alaudidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.9728
"226","Alcedo atthis","Alcedo","Alcedinidae","Coraciiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.8562
"239","Alectoris graeca","Alectoris","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3922
"383","Anas platyrhynchos","Anas","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.6122
"499","Anser anser","Anser","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.6683
"540","Anthus pratensis","Anthus","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0486
"541","Anthus spinoletta","Anthus","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1024
"542","Anthus trivialis","Anthus","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2485
"587","Apus apus","Apus","Apodidae","Apodiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.3995
"588","Aquila chrysaetos","Aquila","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",4.2618
"624","Ardea cinerea","Ardea","Ardeidae","Pelecaniformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",4.2837
"625","Ardea purpurea","Ardea","Ardeidae","Pelecaniformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.9832
"695","Asio otus","Asio","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.6401
"746","Athene noctua","Athene","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.166
"788","Aythya ferina","Aythya","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.4048
"789","Aythya fuligula","Aythya","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.5662
"980","Bonasa bonasia","Tetrastes","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.8128
"1072","Bubo bubo","Bubo","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.6865
"1097","Buteo buteo","Buteo","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.6329
"1250","Caprimulgus europaeus","Caprimulgus","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.4174
"1294","Carduelis carduelis","Carduelis","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1164
"1295","Carduelis citrinella","Carduelis","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.3614
"1393","Carpodacus erythrinus","Carpodacus","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.4332
"1501","Certhia brachydactyla","Certhia","Certhiidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.774
"1502","Certhia familiaris","Certhia","Certhiidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6638
"1542","Charadrius dubius","Charadrius","Charadriidae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.5456
"1577","Chloris chloris","Chloris","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.9282
"1632","Ciconia ciconia","Ciconia","Ciconiidae","Ciconiiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",4.8947
"1643","Cinclus cinclus","Cinclus","Cinclidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",0.8933
"1662","Cisticola juncidis","Cisticola","Cisticolidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3688
"1753","Coccothraustes coccothraustes","Coccothraustes","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.4848
"1804","Columba livia subsp. domestica","Columba","Columbidae","Columbiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.95181516216216
"1805","Columba oenas","Columba","Columbidae","Columbiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.0085
"1806","Columba palumbus","Columba","Columbidae","Columbiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.869
"1951","Corvus corax","Corvus","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.3217
"1952","Corvus corone","Corvus","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6512
"1953","Corvus frugilegus","Corvus","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7589
"1954","Corvus monedula","Coloeus","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.9489
"1976","Coturnix coturnix","Coturnix","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1899
"2012","Crex crex","Crex","Rallidae","Gruiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.497
"2046","Cuculus canorus","Cuculus","Cuculidae","Cuculiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.5086
"2061","Cyanistes caeruleus","Cyanistes","Paridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.667
"2076","Cygnus olor","Cygnus","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",4.9378
"2157","Delichon urbicum","Delichon","Hirundinidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0495
"2165","Dendrocopos leucotos","Dendrocopos","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3069
"2166","Dendrocopos major","Dendrocopos","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7457
"2336","Dryobates minor","Dryobates","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2564
"2339","Dryocopus martius","Dryocopus","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6195
"2403","Emberiza calandra","Emberiza","Emberizidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.5085
"2404","Emberiza cia","Emberiza","Emberizidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.9622
"2405","Emberiza cirlus","Emberiza","Emberizidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6533
"2406","Emberiza citrinella","Emberiza","Emberizidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.162
"2407","Emberiza hortulana","Emberiza","Emberizidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.9724
"2408","Emberiza schoeniclus","Emberiza","Emberizidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3069
"2571","Erithacus rubecula","Erithacus","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1772
"2706","Falco peregrinus","Falco","Falconidae","Falconiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.4252
"2707","Falco subbuteo","Falco","Falconidae","Falconiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.0508
"2708","Falco tinnunculus","Falco","Falconidae","Falconiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7596
"2742","Ficedula albicollis","Ficedula","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6962
"2743","Ficedula hypoleuca","Ficedula","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.7477
"2779","Fringilla coelebs","Fringilla","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2176
"2788","Fulica atra","Fulica","Rallidae","Gruiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.2371
"2850","Gallinago gallinago","Gallinago","Scolopacidae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.104
"2851","Gallinula chloropus","Gallinula","Rallidae","Gruiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.8591
"2859","Garrulus glandarius","Garrulus","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7725
"2930","Glaucidium passerinum","Glaucidium","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1706
"3044","Gypaetus barbatus","Gypaetus","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.2996
"3239","Hippolais icterina","Hippolais","Acrocephalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.8256
"3240","Hippolais polyglotta","Hippolais","Acrocephalidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.611
"3243","Hirundo rustica","Hirundo","Hirundinidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.255
"3596","Ixobrychus minutus","Ixobrychus","Ardeidae","Pelecaniformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",1.8625
"3629","Jynx torquilla","Jynx","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3542
"3731","Lagopus muta","Lagopus","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.2863
"3746","Lanius collurio","Lanius","Laniidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.910155
"3747","Lanius senator","Lanius","Laniidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6671
"3756","Larus michahellis","Larus","Laridae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.5541
"3757","Larus ridibundus","Chroicocephalus","Laridae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.9428
"3868","Leiopicus medius","Dendrocoptes","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0436
"4041","Linaria cannabina","Linaria","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6505
"4074","Locustella luscinioides","Locustella","Locustellidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0381
"4075","Locustella naevia","Locustella","Locustellidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.8697
"4099","Lophophanes cristatus","Lophophanes","Paridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6548
"4117","Loxia curvirostra","Loxia","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1946
"4120","Lullula arborea","Lullula","Alaudidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.889
"4126","Luscinia megarhynchos","Luscinia","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.8755
"4187","Lyrurus tetrix","Lyrurus","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6379
"4249","Mareca strepera","Mareca","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.5632
"4373","Mergus merganser","Mergus","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.4115
"4378","Merops apiaster","Merops","Meropidae","Coraciiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.9831
"4437","Milvus migrans","Milvus","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.27
"4438","Milvus milvus","Milvus","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.6976
"4484","Monticola saxatilis","Monticola","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.9948
"4485","Monticola solitarius","Monticola","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.949
"4486","Montifringilla nivalis","Montifringilla","Passeridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0015
"4492","Motacilla alba","Motacilla","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3994
"4493","Motacilla cinerea","Motacilla","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",1.2993
"4494","Motacilla flava","Motacilla","Motacillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1136
"4506","Muscicapa striata","Muscicapa","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1321
"4678","Netta rufina","Netta","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.2069
"4733","Nucifraga caryocatactes","Nucifraga","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.784
"4792","Oenanthe oenanthe","Oenanthe","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2686
"4876","Oriolus oriolus","Oriolus","Oriolidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2109
"4950","Otus scops","Otus","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.133
"5022","Panurus biarmicus","Panurus","Panuridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.8485
"5099","Parus major","Parus","Paridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2363
"5100","Passer domesticus","Passer","Passeridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1443
"5101","Passer italiae","Passer","Passeridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6355
"5102","Passer montanus","Passer","Passeridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2969
"5162","Perdix perdix","Perdix","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7327
"5166","Periparus ater","Periparus","Paridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.4324
"5172","Pernis apivorus","Pernis","Accipitridae","Accipitriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.9307
"5214","Phalacrocorax carbo","Phalacrocorax","Phalacrocoracidae","Suliformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.4882
"5228","Phasianus colchicus","Phasianus","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.1716
"5278","Phoenicurus ochruros","Phoenicurus","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3144
"5279","Phoenicurus phoenicurus","Phoenicurus","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.8609
"5320","Phylloscopus bonelli","Phylloscopus","Phylloscopidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.434955
"5321","Phylloscopus collybita","Phylloscopus","Phylloscopidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0738
"5322","Phylloscopus sibilatrix","Phylloscopus","Phylloscopidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.7958
"5323","Phylloscopus trochilus","Phylloscopus","Phylloscopidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.881
"5356","Pica pica","Pica","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7213
"5358","Picoides tridactylus","Picoides","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.5498
"5362","Picus canus","Picus","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7161
"5363","Picus viridis","Picus","Picidae","Piciformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3746
"5520","Podiceps cristatus","Podiceps","Podicipedidae","Podicipediformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",1.5827
"5521","Podiceps nigricollis","Podiceps","Podicipedidae","Podicipediformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",1.2392
"5523","Poecile montanus","Poecile","Paridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.7016
"5524","Poecile palustris","Poecile","Paridae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.7318
"5640","Porzana porzana","Porzana","Rallidae","Gruiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.175
"5726","Prunella collaris","Prunella","Prunellidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1391
"5729","Prunella modularis","Prunella","Prunellidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1081
"5822","Ptyonoprogne rupestris","Ptyonoprogne","Hirundinidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.9348
"5874","Pyrrhocorax graculus","Pyrrhocorax","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.4882
"5875","Pyrrhocorax pyrrhocorax","Pyrrhocorax","Corvidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.5912
"5877","Pyrrhula pyrrhula","Pyrrhula","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.4364
"5901","Rallus aquaticus","Rallus","Rallidae","Gruiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.0311
"5957","Regulus ignicapilla","Regulus","Regulidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.9042
"5958","Regulus regulus","Regulus","Regulidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0203
"5960","Remiz pendulinus","Remiz","Remizidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0164
"6069","Riparia riparia","Riparia","Hirundinidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.0871
"6321","Saxicola rubetra","Saxicola","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.9485
"6322","Saxicola torquatus","Saxicola","Muscicapidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.1511
"6401","Scolopax rusticola","Scolopax","Scolopacidae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.271555
"6492","Serinus serinus","Serinus","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6883
"6562","Sitta europaea","Sitta","Sittidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6977
"6676","Spinus spinus","Spinus","Fringillidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",0.6941
"6749","Sterna hirundo","Sterna","Laridae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",3.8459
"6763","Streptopelia decaocto","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.9535
"6764","Streptopelia turtur","Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.3473
"6767","Strix aluco","Strix","Strigidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.5036
"6779","Sturnus vulgaris","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.0793
"6796","Sylvia atricapilla","Sylvia","Sylviidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3677
"6797","Sylvia borin","Sylvia","Sylviidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.7055
"6798","Sylvia communis","Sylvia","Sylviidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.6995
"6799","Sylvia curruca","Sylvia","Sylviidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.5468
"6800","Sylvia nisoria","Sylvia","Sylviidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.4459
"6837","Tachybaptus ruficollis","Tachybaptus","Podicipedidae","Podicipediformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",1.4194
"6838","Tachymarptis melba","Tachymarptis","Apodidae","Apodiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.6549
"6846","Tadorna ferruginea","Tadorna","Anatidae","Anseriformes","Aves","Chordata","Birds","birds","terrestrial","aquatic",2.3821
"6895","Tetrao urogallus","Tetrao","Phasianidae","Galliformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.0203
"6977","Tichodroma muraria","Tichodroma","Tichodromidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3967
"7168","Troglodytes troglodytes","Troglodytes","Troglodytidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.5523
"7190","Turdus merula","Turdus","Turdidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.1737
"7191","Turdus philomelos","Turdus","Turdidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.9688
"7192","Turdus pilaris","Turdus","Turdidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.0826
"7193","Turdus torquatus","Turdus","Turdidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.2854
"7194","Turdus viscivorus","Turdus","Turdidae","Passeriformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.8681
"7205","Tyto alba","Tyto","Tytonidae","Strigiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.5666
"7214","Upupa epops","Upupa","Upupidae","Bucerotiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",3.2478
"7260","Vanellus vanellus","Vanellus","Charadriidae","Charadriiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",2.6478
"7482","Zapornia parva","Porzana","Rallidae","Gruiformes","Aves","Chordata","Birds","birds","terrestrial","terrestrial",1.3075
"259","Allodynerus rossii","Allodynerus","Eumenidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.460932530253025
"395","Ancistrocerus claripennis","Ancistrocerus","Vespidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.460932530253025
"396","Ancistrocerus gazella","Ancistrocerus","Vespidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.460932530253025
"397","Ancistrocerus nigricornis","Ancistrocerus","Vespidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.460932530253025
"398","Ancistrocerus oviventris","Ancistrocerus","Vespidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.460932530253025
"399","Ancistrocerus trifasciatus","Ancistrocerus","Vespidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.460932530253025
"403","Andrena alfkenella","Andrena","Andrenidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.4395
"404","Andrena amieti","Andrena","Andrenidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.460932530253025
"405","Andrena barbilabris","Andrena","Andrenidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.594
"406","Andrena bicolor","Andrena","Andrenidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.5578
"407","Andrena bucephala","Andrena","Andrenidae","Hymenoptera","Insecta","Arthropoda","Arthropods (non EPTO)","bees","terrestrial","terrestrial",0.5241
