"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Drusus discolor" "Drusus.discolor" "ept" 0 1 0.0231660231660232 0.525198172169448 0.971014492753623
"Drusus melanchaetes" "Drusus.melanchaetes" "ept" 0 1 0.0231660231660232 0.161923692410817 0.975845410628019
"Drusus monticola" "Drusus.monticola" "ept" 0 1 0.0231660231660232 0.140212565900102 0.621980676328502
"Ecclisopteryx madida" "Ecclisopteryx.madida" "ept" 0 1 0.0347490347490347 0.00589237253944271 0.990338164251208
"Ecdyonurus dispar" "Ecdyonurus.dispar" "ept" 0 1 0.0154440154440154 0.0130941611987616 0.823671497584541
"Ecdyonurus helveticus" "Ecdyonurus.helveticus" "ept" 0 1 0.0154440154440154 0.12197714778231 0.968599033816425
"Ecdyonurus picteti" "Ecdyonurus.picteti" "ept" 0 1 0.0154440154440154 0.12197714778231 0.971014492753623
"Ecdyonurus torrentis" "Ecdyonurus.torrentis" "ept" 0 1 0.0154440154440154 0.00604345901481303 0.989130434782609
"Ecdyonurus venosus" "Ecdyonurus.venosus" "ept" 0 1 0.0154440154440154 0.00906518852221955 0.978260869565217
"Ecnomus tenellus" "Ecnomus.tenellus" "ept" 0 1 0.0694980694980695 0.37275191852079 0.876811594202899
"Electrogena lateralis" "Electrogena.lateralis" "ept" 0 1 0.00579150579150579 0.0327354029969039 0.986714975845411
"Electrogena ujhelyii" "Electrogena.ujhelyii" "ept" 0 1 0.00579150579150579 0.0307209166586329 0.984299516908213
"Epeorus alpicola" "Epeorus.alpicola" "ept" 0 1 0.00193050193050193 0.12774361492561 0.971014492753623
"Epeorus assimilis" "Epeorus.assimilis" "ept" 0 1 0.00193050193050193 0.25206260307616 0.975845410628019
"Ephemera danica" "Ephemera.danica" "ept" 0 1 0.00579150579150579 0.402645456861918 0.98792270531401
"Ephemera vulgata" "Ephemera.vulgata" "ept" 0 1 0.00579150579150579 0.402645456861918 0.832125603864734
"Ephemerella mucronata" "Ephemerella.mucronata" "ept" 0 1 0.00579150579150579 0.0599309685635626 0.98792270531401
"Glossosoma boltoni" "Glossosoma.boltoni" "ept" 0 1 0.00386100386100386 0.139215395162657 0.665458937198068
"Glossosoma conformis" "Glossosoma.conformis" "ept" 0 1 0.00386100386100386 0.181303770444391 0.708937198067633
"Glyphotaelius pellucidus" "Glyphotaelius.pellucidus" "ept" 0 1 0.0752895752895753 0.135977827833293 0.847826086956522
"Goera pilosa" "Goera.pilosa" "ept" 0 1 0.00965250965250965 0.161988854877065 0.908212560386473
"Habroleptoides auberti" "Habroleptoides.auberti" "ept" 0 1 0.00193050193050193 0.232899801783357 0.972222222222222
"Habroleptoides confusa" "Habroleptoides.confusa" "ept" 0 1 0.00193050193050193 0.0100724316913551 0.978260869565217
"Habrophlebia eldae" "Habrophlebia.eldae" "ept" 0 1 0.00386100386100386 0.135071308981071 0.993961352657005
"Habrophlebia lauta" "Habrophlebia.lauta" "ept" 0 1 0.00386100386100386 0.0473404289493688 0.985507246376812
"Halesus digitatus" "Halesus.digitatus" "ept" 0 1 0.00579150579150579 0.0216269497601524 0.892512077294686
"Halesus radiatus" "Halesus.radiatus" "ept" 0 1 0.00579150579150579 0.150805886201781 0.984299516908213
"Halesus rubricollis" "Halesus.rubricollis" "ept" 0 1 0.00579150579150579 0.140409697777489 0.664251207729469
"Heptagenia sulphurea" "Heptagenia.sulphurea" "ept" 0 1 0.0714285714285714 0.217900272256314 0.927536231884058
"Hydropsyche angustipennis" "Hydropsyche.angustipennis" "ept" 0 1 0.027027027027027 0.0359046216826481 0.863526570048309
"Hydropsyche contubernalis" "Hydropsyche.contubernalis" "ept" 0 1 0.027027027027027 0.197473620606048 0.820048309178744
"Hydropsyche dinarica" "Hydropsyche.dinarica" "ept" 0 1 0.027027027027027 0.0381493350310073 0.983091787439614
"Hydropsyche incognita" "Hydropsyche.incognita" "ept" 0 1 0.027027027027027 0.178454711194551 0.852657004830918
"Hydropsyche instabilis" "Hydropsyche.instabilis" "ept" 0 1 0.027027027027027 0.244958820775997 0.980676328502415
"Hydropsyche pellucidula" "Hydropsyche.pellucidula" "ept" 0 1 0.027027027027027 0.252530251690402 0.896135265700483
"Hydropsyche siltalai" "Hydropsyche.siltalai" "ept" 0 1 0.027027027027027 0.139215395162657 0.990338164251208
"Hydropsyche tenuis" "Hydropsyche.tenuis" "ept" 0 1 0.027027027027027 0.0381493350310073 0.692028985507246
"Hydroptila angulata" "Hydroptila.angulata" "ept" 0 1 0.028957528957529 0.126103247478733 0.801932367149758
"Hydroptila forcipata" "Hydroptila.forcipata" "ept" 0 1 0.028957528957529 0.0414894253258013 0.694444444444444
"Hydroptila sparsa" "Hydroptila.sparsa" "ept" 0 1 0.028957528957529 0.0414894253258013 0.853864734299517
"Hydroptila tineoides" "Hydroptila.tineoides" "ept" 0 1 0.028957528957529 0.043318650866892 0.844202898550725
"Hydroptila vectis" "Hydroptila.vectis" "ept" 0 1 0.028957528957529 0.140510422094403 0.805555555555556
"Isoperla carbonaria" "Isoperla.carbonaria" "ept" 0 1 0.0115830115830116 0.303856485751921 0.981884057971015
"Isoperla grammatica" "Isoperla.grammatica" "ept" 0 1 0.0115830115830116 0.135977827833293 0.978260869565217
