"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Myrmeleotettix maculatus" "Myrmeleotettix.maculatus" "orthoptera" 1 0 0.25 0.300928579617104 0.909420289855073
"Nemobius sylvestris" "Nemobius.sylvestris" "orthoptera" 1 0 0.0172413793103448 0.300928579617104 0.518115942028986
"Odontopodisma decipiens subsp. insubrica" "Odontopodisma.decipiens.insubrica" "orthoptera" 0 0 0.0745436105476673 0.501547632695174 1
"Oecanthus pellucens" "Oecanthus.pellucens" "orthoptera" 0 0 0.0862068965517241 0.46142382207956 0.769323671497585
"Oedipoda caerulescens" "Oedipoda.caerulescens" "orthoptera" 1 0 0.00862068965517241 0.180557147770262 0.713768115942029
"Oedipoda germanica" "Oedipoda.germanica" "orthoptera" 1 0 0.00862068965517241 0.120371431846842 0.728260869565217
"Omocestus haemorrhoidalis" "Omocestus.haemorrhoidalis" "orthoptera" 1 0 0.0172413793103448 0 0.736714975845411
"Omocestus rufipes" "Omocestus.rufipes" "orthoptera" 1 0 0.0172413793103448 0.228705720508999 0.613526570048309
"Omocestus viridulus" "Omocestus.viridulus" "orthoptera" 1 0 0.0172413793103448 0.240742863693683 0.560386473429952
"Pezotettix giornae" "Pezotettix.giornae" "orthoptera" 1 0 0.0258620689655172 0.300928579617104 0.969806763285024
"Phaneroptera falcata" "Phaneroptera.falcata" "orthoptera" 0 0 0.00862068965517241 0.662042875157629 0.70048309178744
"Phaneroptera nana" "Phaneroptera.nana" "orthoptera" 0 0 0.00862068965517241 0.300928579617104 0.780193236714976
"Pholidoptera aptera" "Pholidoptera.aptera" "orthoptera" 1 0 0.0172413793103448 0.391207153502235 0.760869565217391
"Pholidoptera fallax" "Pholidoptera.fallax" "orthoptera" 1 0 0.0172413793103448 0.240742863693683 0.978260869565217
"Pholidoptera griseoaptera" "Pholidoptera.griseoaptera" "orthoptera" 1 0 0.0172413793103448 0.300928579617104 0.531400966183575
"Pholidoptera littoralis subsp. insubrica" "Pholidoptera.littoralis.insubrica" "orthoptera" 1 0 0.0745436105476673 0.240742863693683 1
"Platycleis albopunctata" "Platycleis.albopunctata" "orthoptera" 1 0 0.00862068965517241 0.331021437578815 0.646135265700483
"Platycleis albopunctata subsp. albopunctata" "Platycleis.albopunctata.albopunctata" "orthoptera" 1 0 0.0745436105476673 0.373151438725209 1
"Platycleis albopunctata subsp. grisea" "Platycleis.albopunctata.grisea" "orthoptera" 1 0 0.00862068965517241 0.23071191103978 1
"Podisma pedestris" "Podisma.pedestris" "orthoptera" 1 0 0.0258620689655172 0.180557147770262 0.701690821256039
"Polysarcus denticauda" "Polysarcus.denticauda" "orthoptera" 1 0 0.0431034482758621 0.451392869425656 0.800724637681159
"Psophus stridulus" "Psophus.stridulus" "orthoptera" 1 1 0.0775862068965517 0.120371431846842 0.676328502415459
"Pteronemobius heydenii" "Pteronemobius.heydenii" "orthoptera" 1 1 0.00862068965517241 0.443869654935229 0.721014492753623
"Pteronemobius lineolatus" "Pteronemobius.lineolatus" "orthoptera" 1 1 0.00862068965517241 0.290897626963201 0.986714975845411
"Ruspolia nitidula" "Ruspolia.nitidula" "orthoptera" 1 1 0.0172413793103448 0.300928579617104 0.746376811594203
"Sphingonotus caerulans" "Sphingonotus.caerulans" "orthoptera" 1 1 0.0775862068965517 0.240742863693683 0.783816425120773
"Stauroderus scalaris" "Stauroderus.scalaris" "orthoptera" 1 0 0.25 0.120371431846842 0.595410628019324
"Stenobothrus lineatus" "Stenobothrus.lineatus" "orthoptera" 1 0 0.0258620689655172 0 0.566425120772947
"Stenobothrus nigromaculatus" "Stenobothrus.nigromaculatus" "orthoptera" 1 1 0.0258620689655172 0.120371431846842 0.93719806763285
"Stenobothrus rubicundulus" "Stenobothrus.rubicundulus" "orthoptera" 1 0 0.0258620689655172 0.180557147770262 0.851449275362319
"Stethophyma grossum" "Stethophyma.grossum" "orthoptera" 1 0 0.00862068965517241 0.397225725094577 0.58695652173913
"Tetrix bipunctata" "Tetrix.bipunctata" "orthoptera" 1 0 0.0517241379310345 0.451392869425656 0.589371980676328
"Tetrix ceperoi" "Tetrix.ceperoi" "orthoptera" 1 1 0.0517241379310345 0.49151668004127 0.971014492753623
"Tetrix subulata" "Tetrix.subulata" "orthoptera" 1 1 0.0517241379310345 0.361114295540525 0.643719806763285
"Tetrix tenuicornis" "Tetrix.tenuicornis" "orthoptera" 1 1 0.0517241379310345 0.331021437578815 0.619565217391304
"Tetrix tuerki" "Tetrix.tuerki" "orthoptera" 1 1 0.0517241379310345 0.120371431846842 0.92512077294686
"Tetrix undulata" "Tetrix.undulata" "orthoptera" 1 0 0.0517241379310345 0.52160953800298 0.777777777777778
"Tettigonia cantans" "Tettigonia.cantans" "orthoptera" 0 0 0.0172413793103448 0.361114295540525 0.6243961352657
"Tettigonia caudata" "Tettigonia.caudata" "orthoptera" 0 0 0.0172413793103448 0.757792877763071 0.978260869565217
"Tettigonia viridissima" "Tettigonia.viridissima" "orthoptera" 0 0 0.0172413793103448 0.361114295540525 0.516908212560387
"Uvarovitettix depressus" "Uvarovitettix.depressus" "orthoptera" 1 0 0.0603448275862069 0.180557147770262 0.931159420289855
"Yersinella raymondii" "Yersinella.raymondii" "orthoptera" 0 0 0.181034482758621 0.120371431846842 0.971014492753623
