"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness"
"Anaplectoides prasina" "Anaplectoides.prasina" "lepidoptera" 1 0 0.0754536771728749 0.000497997504856493 0.706521739130435
"Anthocharis cardamines" "Anthocharis.cardamines" "lepidoptera" 1 0 0.00286532951289398 0.0016195040808341 0.521739130434783
"Antitype chi" "Antitype.chi" "lepidoptera" 1 0 0.0764087870105062 0.000101219005052131 0.834541062801932
"Apamea anceps" "Apamea.anceps" "lepidoptera" 0 0 0.0162368672397326 0.000124161979530609 0.869565217391304
"Apamea aquila" "Apamea.aquila" "lepidoptera" 1 0 0.0162368672397326 0.00021458429071052 0.834541062801932
"Apamea crenata" "Apamea.crenata" "lepidoptera" 0 0 0.0162368672397326 2.29429744784897e-05 0.713768115942029
"Apamea epomidion" "Apamea.epomidion" "lepidoptera" 1 0 0.0162368672397326 0.000298933461587302 0.764492753623188
"Apamea furva" "Apamea.furva" "lepidoptera" 0 0 0.0162368672397326 8.77231377118495e-05 0.780193236714976
"Apamea illyria" "Apamea.illyria" "lepidoptera" 1 0 0.0162368672397326 6.95037168024755e-05 0.789855072463768
"Apamea lateritia" "Apamea.lateritia" "lepidoptera" 1 0 0.0162368672397326 0.000795581379709751 0.817632850241546
"Apamea lithoxylaea" "Apamea.lithoxylaea" "lepidoptera" 0 0 0.0162368672397326 6.74793367014092e-05 0.817632850241546
"Apamea maillardi" "Apamea.maillardi" "lepidoptera" 0 0 0.0162368672397326 0.000128885533099707 0.688405797101449
"Apamea monoglypha" "Apamea.monoglypha" "lepidoptera" 1 0 0.0162368672397326 0.000113365285658389 0.614734299516908
"Apamea ophiogramma" "Apamea.ophiogramma" "lepidoptera" 1 0 0.0162368672397326 0.000529037999739135 0.692028985507246
"Apamea platinea" "Apamea.platinea" "lepidoptera" 0 0 0.0162368672397326 0.00124836772897629 0.815217391304348
"Apamea remissa" "Apamea.remissa" "lepidoptera" 0 0 0.0162368672397326 0.000137657846870915 0.923913043478261
"Apamea rubrirena" "Apamea.rubrirena" "lepidoptera" 1 0 0.0162368672397326 0.00151828507578198 0.743961352657005
"Apamea scolopacina" "Apamea.scolopacina" "lepidoptera" 1 0 0.0162368672397326 0.00025102313252928 0.842995169082126
"Apamea sordens" "Apamea.sordens" "lepidoptera" 1 0 0.0162368672397326 6.74793367013508e-06 0.870772946859903
"Apamea sublustris" "Apamea.sublustris" "lepidoptera" 1 0 0.0162368672397326 3.37396683506988e-05 0.729468599033816
"Apamea unanimis" "Apamea.unanimis" "lepidoptera" 1 0 0.0162368672397326 5.21840203824317e-05 0.952898550724638
"Apamea zeta subsp. pernix" "Apamea.zeta.pernix" "lepidoptera" 1 0 0.0225313535523157 0.221486789550228 1
"Apatura ilia" "Apatura.ilia" "lepidoptera" 0 0 0.000955109837631327 0.45346114263355 0.805555555555556
"Apatura iris" "Apatura.iris" "lepidoptera" 0 0 0.000955109837631327 0.221332224380661 0.56280193236715
"Aphantopus hyperantus" "Aphantopus.hyperantus" "lepidoptera" 1 0 0.00191021967526265 0 0.590579710144927
"Apoda limacodes" "Apoda.limacodes" "lepidoptera" 1 0 0.0276981852913085 8.09752040416911e-05 0.752415458937198
"Aporia crataegi" "Aporia.crataegi" "lepidoptera" 1 0 0.00668576886341929 0.45346114263355 0.573671497584541
"Aporophyla lutulenta" "Aporophyla.lutulenta" "lepidoptera" 1 0 0.0764087870105062 0.00162220325430216 0.856280193236715
"Araschnia levana" "Araschnia.levana" "lepidoptera" 0 0 0.00764087870105062 0.0119065040298434 0.682367149758454
"Arctia caja" "Arctia.caja" "lepidoptera" 1 0 0.00573065902578796 0.000104592971887205 0.798309178743961
"Arctia villica" "Arctia.villica" "lepidoptera" 1 0 0.00573065902578796 9.7170244850034e-05 0.888888888888889
"Argynnis pandora" "Argynnis.pandora" "lepidoptera" 1 0 0.000955109837631327 0.0464550246964817 0.710144927536232
"Argynnis paphia" "Argynnis.paphia" "lepidoptera" 0 0 0.000955109837631327 0.0962878227547202 0.544685990338164
"Aricia agestis" "Aricia.agestis" "lepidoptera" 1 0 0.000955109837631327 0.000202438010104263 0.722222222222222
"Aricia artaxerxes" "Aricia.artaxerxes" "lepidoptera" 1 0 0.000955109837631327 0.242770409650703 0.659420289855073
"Aricia nicias" "Aricia.nicias" "lepidoptera" 1 0 0.00191021967526265 0.000113365285658383 0.834541062801932
"Asteroscopus sphinx" "Asteroscopus.sphinx" "lepidoptera" 1 0 0.0105062082139446 0.000213234703976489 0.82487922705314
