"names.traits" "names.maps" "Group" "Ter" "Aqu" "PhyloUniqueness" "FunctionUniqueness" "Restrictedness" "SummedUniqueness"
"Agriotes gallicus" "Agriotes.gallicus" "coleoptera" 1 0 0.00535395597858417 0.0095568806212597 0.884057971014493 0.0149108365998439
"Agriotes obscurus" "Agriotes.obscurus" "coleoptera" 1 0 0.00535395597858417 0.227063583795669 0.890096618357488 0.232417539774253
"Agriotes pilosellus" "Agriotes.pilosellus" "coleoptera" 1 0 0.00535395597858417 0.111708158596544 0.522946859903382 0.117062114575128
"Agriotes sputator" "Agriotes.sputator" "coleoptera" 1 0 0.00535395597858417 0.0249560107399595 0.751207729468599 0.0303099667185437
"Agriotes ustulatus" "Agriotes.ustulatus" "coleoptera" 1 0 0.00535395597858417 0.0933325001813415 0.814009661835749 0.0986864561599257
"Agrypnus murinus" "Agrypnus.murinus" "coleoptera" 1 0 0.139202855443189 0.0548577735530997 0.698067632850242 0.194060628996289
"Alosterna tabacicolor" "Alosterna.tabacicolor" "coleoptera" 1 0 0.0190362879238548 0.164037610099949 0.585748792270531 0.183073898023803
"Alphitobius diaperinus" "Alphitobius.diaperinus" "coleoptera" 1 0 0.0130874479476502 0.00658608958050516 0.879227053140097 0.0196735375281554
"Amara aenea" "Amara.aenea" "coleoptera" 1 0 0.0255800118976799 0.00912162945054485 0.68719806763285 0.0347016413482248
"Amara aulica" "Amara.aulica" "coleoptera" 1 1 0.0255800118976799 0.2876130055905 0.914251207729469 0.31319301748818
"Amara bifrons" "Amara.bifrons" "coleoptera" 1 0 0.0255800118976799 0.392019509525492 0.789855072463768 0.417599521423172
"Amara communis" "Amara.communis" "coleoptera" 1 1 0.0255800118976799 0.135347129068068 0.86231884057971 0.160927140965748
"Amara convexior" "Amara.convexior" "coleoptera" 1 0 0.0255800118976799 0.0183261588611728 0.772946859903382 0.0439061707588527
"Amara curta" "Amara.curta" "coleoptera" 1 0 0.0255800118976799 0.00334229786548407 0.590579710144927 0.028922309763164
"Amara erratica" "Amara.erratica" "coleoptera" 1 0 0.0255800118976799 0.392019509525492 0.516908212560387 0.417599521423172
"Amara familiaris" "Amara.familiaris" "coleoptera" 1 0 0.0255800118976799 0.240456571417422 0.742753623188406 0.266036583315102
"Amara fulvipes" "Amara.fulvipes" "coleoptera" 1 0 0.0255800118976799 0.291700651735985 0.88768115942029 0.317280663633665
"Amara kulti" "Amara.kulti" "coleoptera" 1 0 0.0255800118976799 0.375793649743395 0.79951690821256 0.401373661641075
"Amara lunicollis" "Amara.lunicollis" "coleoptera" 1 1 0.0255800118976799 0.010362816637741 0.759661835748792 0.035942828535421
"Amara montivaga" "Amara.montivaga" "coleoptera" 1 0 0.0255800118976799 0.141668769248777 0.585748792270531 0.167248781146457
"Amara nitida" "Amara.nitida" "coleoptera" 1 0 0.0255800118976799 0.02058212077997 0.774154589371981 0.0461621326776499
"Amara ovata" "Amara.ovata" "coleoptera" 1 0 0.0255800118976799 0.0183261588611728 0.739130434782609 0.0439061707588527
"Amara plebeja" "Amara.plebeja" "coleoptera" 1 0 0.0255800118976799 0.132625414734074 0.832125603864734 0.158205426631754
"Amara praetermissa" "Amara.praetermissa" "coleoptera" 1 0 0.0255800118976799 0.291234501557974 0.772946859903382 0.316814513455654
"Amara quenseli subsp. quenseli" "Amara.quenseli.quenseli" "coleoptera" 1 0 0.0275561985109873 0.596853349789965 1 0.624409548300952
"Amara similata" "Amara.similata" "coleoptera" 1 0 0.0255800118976799 0.02058212077997 0.696859903381642 0.0461621326776499
"Amidorus obscurus subsp. obscurus" "Amidorus.obscurus.obscurus" "coleoptera" 1 0 0.0275561985109873 0.0105925869316489 1 0.0381487854426362
"Ampedus aethiops" "Ampedus.aethiops" "coleoptera" 1 0 0.0124925639500297 0.0277310933719262 0.6243961352657 0.0402236573219559
"Ampedus balteatus" "Ampedus.balteatus" "coleoptera" 1 0 0.0124925639500297 0.155892153743011 0.89975845410628 0.168384717693041
"Ampedus elongatulus" "Ampedus.elongatulus" "coleoptera" 1 0 0.0124925639500297 0.0463618895008774 0.713768115942029 0.0588544534509071
"Ampedus erythrogonus" "Ampedus.erythrogonus" "coleoptera" 1 0 0.0124925639500297 0.0489387646475678 0.63768115942029 0.0614313285975975
"Ampedus pomorum" "Ampedus.pomorum" "coleoptera" 1 0 0.0124925639500297 0.12113168558912 0.620772946859903 0.133624249539149
"Ampedus praeustus" "Ampedus.praeustus" "coleoptera" 1 0 0.0124925639500297 0.0425742587960194 0.768115942028985 0.0550668227460491
